method	condition_id	label	stage	O2	feasible	agreement_score	spearman_expr_vs_flux	hi_expr_recall	flux_precision_hi_med	mcc_active_vs_expr	jaccard_active_vs_expr	n_flux_nonzero	n_gpr	spearman_expr_vs_flux_rn	hi_expr_recall_rn	flux_precision_hi_med_rn	mcc_active_vs_expr_rn	composite
eflux	15_mixed_aa	Mixed AAs + glc	necrotrophic	anaerobic	True	0.5445	0.0932	0.335	0.9725	0.1378	0.3292	458	1045	0.013986013986013986	0.06293706293706294	0.05244755244755245	0.017482517482517484	0.0367
eflux	16_pre_infection_mix	Pre-infection mix	cocktail	aerobic	True	0.5802	0.1229	0.3525	0.9835	0.1783	0.3718	483	1045	0.2727272727272727	0.22727272727272727	0.7762237762237763	0.5699300699300699	0.4615
eflux	16_pre_infection_mix	Pre-infection mix	cocktail	anaerobic	True	0.5733	0.1305	0.3525	0.9831	0.1734	0.3614	479	1045	0.43356643356643354	0.22727272727272727	0.7482517482517482	0.527972027972028	0.4843
eflux	17_biotrophic_mix	Biotrophic mix	cocktail	aerobic	True	0.5745	0.1254	0.35	0.975	0.1546	0.3634	475	1045	0.33916083916083917	0.16083916083916083	0.13636363636363635	0.15034965034965034	0.1967
eflux	17_biotrophic_mix	Biotrophic mix	cocktail	anaerobic	True	0.5738	0.1396	0.3575	0.9802	0.1656	0.3589	475	1045	0.6083916083916084	0.3741258741258741	0.534965034965035	0.33916083916083917	0.4642
eflux	18_necrotrophic_mix	Necrotrophic mix	cocktail	aerobic	True	0.5765	0.1262	0.37	0.9717	0.1437	0.3547	496	1045	0.36013986013986016	0.6468531468531469	0.02097902097902098	0.04895104895104895	0.2692
eflux	18_necrotrophic_mix	Necrotrophic mix	cocktail	anaerobic	True	0.5493	0.0865	0.3375	0.9729	0.1403	0.3344	478	1045	0.0	0.08041958041958042	0.07342657342657342	0.03496503496503497	0.0472
eflux	19_pdb_baseline	PDB (baseline)	biotrophic	aerobic	True	0.5871	0.1254	0.36	0.9785	0.1679	0.3772	502	1045	0.33916083916083917	0.44405594405594406	0.4090909090909091	0.4230769230769231	0.4038
eflux	19_pdb_baseline	PDB (baseline)	biotrophic	anaerobic	True	0.5643	0.0986	0.3475	0.9769	0.1548	0.3503	482	1045	0.027972027972027972	0.13286713286713286	0.22377622377622378	0.16783216783216784	0.1381
eflux	20_pdb_half	PDB (1/2 dilution)	biotrophic	aerobic	True	0.588	0.1206	0.3625	0.9785	0.1679	0.3772	505	1045	0.24125874125874125	0.5244755244755245	0.4090909090909091	0.4230769230769231	0.3995
