gene	ko_id	uniprot_chig_id	logFC_half_vs_PDA	adjP_half_vs_PDA	logFC_onetenth_vs_PDA	adjP_onetenth_vs_PDA	logFC_onetenth_vs_half	adjP_onetenth_vs_half	sig_half_vs_PDA	sig_onetenth_vs_PDA	sig_onetenth_vs_half
gene_2321	K00671	tr|H1VPS7|H1VPS7_COLHI	-0.7437	0.0345	-0.3625	0.1182	0.3812	0.1007	False	False	False
gene_1801	K09490	tr|A0A1B7YC11|A0A1B7YC11_COLHI	0.1949	0.5243	-0.1977	0.3631	-0.3925	0.0721	False	False	False
gene_7017	K17560	tr|H1UYU8|H1UYU8_COLHI	-0.1225	0.9213	-0.7524	0.3288	-0.6299	0.4104	False	False	False
gene_5166	K07390	tr|H1UXE2|H1UXE2_COLHI	-0.256	0.5973	-1.5364	0.001	-1.2804	0.0019	False	True	True
gene_9272	K18798	tr|A0A1B7YAA8|A0A1B7YAA8_COLHI	-0.5154	0.5259	0.3946	0.5002	0.9101	0.0941	False	False	False
gene_6712	K04802	tr|H1UWD1|H1UWD1_COLHI	0.693	0.3133	-1.0782	0.0378	-1.7711	0.003	False	True	True
gene_1565	K02140	tr|H1UVF4|H1UVF4_COLHI	0.2466	0.7983	-1.0068	0.1143	-1.2534	0.0534	False	False	False
gene_2458		tr|H1V0I2|H1V0I2_COLHI	0.1237	0.7344	-0.0177	0.9466	-0.1414	0.5709	False	False	False
gene_2602	K03934	tr|A0A1B7Y208|A0A1B7Y208_COLHI	-0.0478	0.9167	0.4707	0.0806	0.5185	0.0566	False	False	False
gene_12617	K02886	tr|H1UZA2|H1UZA2_COLHI	0.7869	0.4692					False	False	False
gene_8106	K01897	tr|H1V862|H1V862_COLHI	0.3759	0.3489	0.9945	0.0043	0.6186	0.0391	False	False	False
gene_1203	K14676	tr|H1VY66|H1VY66_COLHI	0.0503	0.9429	1.2441	0.009	1.1937	0.0105	False	True	True
gene_10515	K06027	tr|H1UVG2|H1UVG2_COLHI	0.2688	0.6349	-0.2189	0.5894	-0.4876	0.2074	False	False	False
gene_11047	K01649	tr|A0A1B7YVF9|A0A1B7YVF9_COLHI	-0.285	0.6754	-0.4345	0.3573	-0.1496	0.7642	False	False	False
gene_11790	K00121	tr|A0A1B7Y5D5|A0A1B7Y5D5_COLHI	-0.9812	0.0616	-0.4849	0.187	0.4963	0.173	False	False	False
gene_10825	K01501	tr|A0A1B7Y3X6|A0A1B7Y3X6_COLHI	-0.0276	0.9537	0.0183	0.9537	0.0459	0.8883	False	False	False
gene_4455	K00029	tr|A0A1B7YCI1|A0A1B7YCI1_COLHI	0.0353	0.9537	-1.9168	0.0005	-1.9522	0.0003	False	True	True
gene_1838	K00167	tr|H1VDH2|H1VDH2_COLHI	0.0365	0.9349	-0.6539	0.0155	-0.6904	0.0113	False	False	False
gene_12618	K01893	tr|H1V534|H1V534_COLHI	0.2191	0.5836	-0.0541	0.8644	-0.2732	0.3192	False	False	False
gene_5629	K03943	tr|H1UZI8|H1UZI8_COLHI	-0.2355	0.5479	-0.1615	0.5639	0.074	0.8029	False	False	False
gene_1225	K13421	tr|H1VUH4|H1VUH4_COLHI	0.2819	0.771	-1.2738	0.0521	-1.5557	0.022	False	False	True
gene_11837	K01568	tr|A0A1B7YIA1|A0A1B7YIA1_COLHI	-1.272	0.1893	-0.1376	0.8733	1.1344	0.1348	False	False	False
gene_356	K17741	tr|H1VGR0|H1VGR0_COLHI	-0.0291	0.9403	-0.626	0.0136	-0.5968	0.0168	False	False	False
gene_9121	K02433	tr|A0A1B7Y9C8|A0A1B7Y9C8_COLHI	0.029	0.9758					False	False	False
gene_6589	K01610	tr|A0A1B7YFE9|A0A1B7YFE9_COLHI	-0.046	0.9403	-1.9006	0.0004	-1.8546	0.0003	False	True	True
gene_2309	K01955	tr|A0A1B7YA99|A0A1B7YA99_COLHI	0.4351	0.2994	1.0804	0.0039	0.6453	0.0413	False	True	False
gene_3969	K01955	tr|H1UXH8|H1UXH8_COLHI	0.3445	0.2959	0.1072	0.67	-0.2373	0.3198	False	False	False
