kegg_pathway_name	method	condition_id	O2	stage	n_rxn	n_active	total_flux	active_rate
Alanine, aspartate and glutamate metabolism	eflux	06_glucose_low	anaerobic	biotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	eflux	07_sucrose_low	aerobic	biotrophic	1	1	0.0005	1.0
Alanine, aspartate and glutamate metabolism	eflux	07_sucrose_low	anaerobic	biotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	eflux	08_glutamate	aerobic	biotrophic	1	1	1.0362	1.0
Alanine, aspartate and glutamate metabolism	eflux	08_glutamate	anaerobic	biotrophic	1	1	1.244	1.0
Alanine, aspartate and glutamate metabolism	eflux	09_glutamine	aerobic	biotrophic	1	1	1.0412	1.0
Alanine, aspartate and glutamate metabolism	eflux	09_glutamine	anaerobic	biotrophic	1	1	1.244	1.0
Alanine, aspartate and glutamate metabolism	eflux	10_gaba	aerobic	biotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	eflux	11_galacturonate	aerobic	necrotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	eflux	11_galacturonate	anaerobic	necrotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	eflux	12_xylose	aerobic	necrotrophic	1	1	0.0021	1.0
Alanine, aspartate and glutamate metabolism	eflux	12_xylose	anaerobic	necrotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	eflux	13_arabinose	aerobic	necrotrophic	1	1	0.002	1.0
Alanine, aspartate and glutamate metabolism	eflux	14_maltose	aerobic	necrotrophic	1	1	0.0052	1.0
Alanine, aspartate and glutamate metabolism	eflux	14_maltose	anaerobic	necrotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	eflux	15_mixed_aa	aerobic	necrotrophic	1	1	0.6226	1.0
Alanine, aspartate and glutamate metabolism	eflux	15_mixed_aa	anaerobic	necrotrophic	1	1	0.283	1.0
Alanine, aspartate and glutamate metabolism	eflux	16_pre_infection_mix	aerobic	cocktail	1	1	0.001	1.0
Alanine, aspartate and glutamate metabolism	eflux	16_pre_infection_mix	anaerobic	cocktail	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	eflux	17_biotrophic_mix	aerobic	cocktail	1	1	0.4065	1.0
Alanine, aspartate and glutamate metabolism	eflux	17_biotrophic_mix	anaerobic	cocktail	1	1	0.6759	1.0
Alanine, aspartate and glutamate metabolism	eflux	18_necrotrophic_mix	aerobic	cocktail	1	1	0.7326	1.0
Alanine, aspartate and glutamate metabolism	eflux	18_necrotrophic_mix	anaerobic	cocktail	1	1	0.3662	1.0
Alanine, aspartate and glutamate metabolism	gimme	01_trehalose	aerobic	pre-infection	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	gimme	01_trehalose	anaerobic	pre-infection	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	gimme	02_glycerol	aerobic	pre-infection	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	gimme	02_glycerol	anaerobic	pre-infection	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	gimme	03_palmitate	aerobic	pre-infection	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	gimme	04_oleate	aerobic	pre-infection	1	1	0.0016	1.0
Alanine, aspartate and glutamate metabolism	gimme	05_hexacosanoate	aerobic	pre-infection	1	1	0.0026	1.0
Alanine, aspartate and glutamate metabolism	gimme	06_glucose_low	aerobic	biotrophic	1	1	0.0005	1.0
Alanine, aspartate and glutamate metabolism	gimme	06_glucose_low	anaerobic	biotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	gimme	07_sucrose_low	aerobic	biotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	gimme	07_sucrose_low	anaerobic	biotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	gimme	08_glutamate	aerobic	biotrophic	1	1	0.9421	1.0
Alanine, aspartate and glutamate metabolism	gimme	08_glutamate	anaerobic	biotrophic	1	1	1.2441	1.0
Alanine, aspartate and glutamate metabolism	gimme	09_glutamine	aerobic	biotrophic	1	1	0.8896	1.0
Alanine, aspartate and glutamate metabolism	gimme	09_glutamine	anaerobic	biotrophic	1	1	1.2441	1.0
Alanine, aspartate and glutamate metabolism	gimme	10_gaba	aerobic	biotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	gimme	11_galacturonate	aerobic	necrotrophic	1	1	0.0019	1.0
Alanine, aspartate and glutamate metabolism	gimme	11_galacturonate	anaerobic	necrotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	gimme	12_xylose	aerobic	necrotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	gimme	12_xylose	anaerobic	necrotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	gimme	13_arabinose	aerobic	necrotrophic	1	1	0.0004	1.0
Alanine, aspartate and glutamate metabolism	gimme	14_maltose	aerobic	necrotrophic	1	1	0.0047	1.0
Alanine, aspartate and glutamate metabolism	gimme	14_maltose	anaerobic	necrotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	gimme	15_mixed_aa	aerobic	necrotrophic	1	1	0.2252	1.0
Alanine, aspartate and glutamate metabolism	gimme	15_mixed_aa	anaerobic	necrotrophic	1	1	0.0484	1.0
Alanine, aspartate and glutamate metabolism	gimme	16_pre_infection_mix	aerobic	cocktail	1	1	0.0009	1.0
Alanine, aspartate and glutamate metabolism	gimme	16_pre_infection_mix	anaerobic	cocktail	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	gimme	17_biotrophic_mix	aerobic	cocktail	1	1	0.402	1.0
Alanine, aspartate and glutamate metabolism	gimme	17_biotrophic_mix	anaerobic	cocktail	1	1	0.6715	1.0
Alanine, aspartate and glutamate metabolism	gimme	18_necrotrophic_mix	aerobic	cocktail	1	1	0.1306	1.0
Alanine, aspartate and glutamate metabolism	gimme	18_necrotrophic_mix	anaerobic	cocktail	1	1	0.3663	1.0
Alanine, aspartate and glutamate metabolism	imat	01_trehalose	aerobic	pre-infection	1	1	0.001	1.0
Alanine, aspartate and glutamate metabolism	imat	01_trehalose	anaerobic	pre-infection	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	imat	02_glycerol	aerobic	pre-infection	1	1	0.001	1.0
Alanine, aspartate and glutamate metabolism	imat	02_glycerol	anaerobic	pre-infection	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	imat	03_palmitate	aerobic	pre-infection	1	1	0.8441	1.0
Alanine, aspartate and glutamate metabolism	imat	04_oleate	aerobic	pre-infection	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	imat	05_hexacosanoate	aerobic	pre-infection	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	imat	06_glucose_low	aerobic	biotrophic	1	1	0.1409	1.0
Alanine, aspartate and glutamate metabolism	imat	06_glucose_low	anaerobic	biotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	imat	07_sucrose_low	aerobic	biotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	imat	07_sucrose_low	anaerobic	biotrophic	1	1	0.001	1.0
Alanine, aspartate and glutamate metabolism	imat	08_glutamate	aerobic	biotrophic	1	1	0.1188	1.0
Alanine, aspartate and glutamate metabolism	imat	08_glutamate	anaerobic	biotrophic	1	1	1.2402	1.0
Alanine, aspartate and glutamate metabolism	imat	09_glutamine	aerobic	biotrophic	1	1	0.0906	1.0
Alanine, aspartate and glutamate metabolism	imat	09_glutamine	anaerobic	biotrophic	1	1	1.2439	1.0
Alanine, aspartate and glutamate metabolism	imat	10_gaba	aerobic	biotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	imat	11_galacturonate	aerobic	necrotrophic	1	1	0.0002	1.0
Alanine, aspartate and glutamate metabolism	imat	11_galacturonate	anaerobic	necrotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	imat	12_xylose	aerobic	necrotrophic	1	1	0.0002	1.0
Alanine, aspartate and glutamate metabolism	imat	12_xylose	anaerobic	necrotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	imat	13_arabinose	aerobic	necrotrophic	1	1	0.3391	1.0
Alanine, aspartate and glutamate metabolism	imat	14_maltose	aerobic	necrotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	imat	14_maltose	anaerobic	necrotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	imat	15_mixed_aa	aerobic	necrotrophic	1	1	0.4442	1.0
Alanine, aspartate and glutamate metabolism	imat	15_mixed_aa	anaerobic	necrotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	imat	16_pre_infection_mix	aerobic	cocktail	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	imat	16_pre_infection_mix	anaerobic	cocktail	1	1	0.001	1.0
Alanine, aspartate and glutamate metabolism	imat	17_biotrophic_mix	aerobic	cocktail	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	imat	17_biotrophic_mix	anaerobic	cocktail	1	1	0.0858	1.0
Alanine, aspartate and glutamate metabolism	imat	18_necrotrophic_mix	aerobic	cocktail	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	imat	18_necrotrophic_mix	anaerobic	cocktail	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	pfba	01_trehalose	aerobic	pre-infection	1	1	0.001	1.0
Alanine, aspartate and glutamate metabolism	pfba	01_trehalose	anaerobic	pre-infection	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	pfba	02_glycerol	aerobic	pre-infection	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	pfba	02_glycerol	anaerobic	pre-infection	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	pfba	03_palmitate	aerobic	pre-infection	1	1	0.0016	1.0
Alanine, aspartate and glutamate metabolism	pfba	04_oleate	aerobic	pre-infection	1	1	0.0018	1.0
Alanine, aspartate and glutamate metabolism	pfba	05_hexacosanoate	aerobic	pre-infection	1	1	0.0029	1.0
Alanine, aspartate and glutamate metabolism	pfba	06_glucose_low	aerobic	biotrophic	1	1	0.0005	1.0
Alanine, aspartate and glutamate metabolism	pfba	06_glucose_low	anaerobic	biotrophic	1	0	0.0	0.0
