pathway	method	condition_id	O2	stage	n_rxn	n_active	total_flux	active_rate
Biomass	pfba	01_trehalose	anaerobic	pre-infection	6	1	0.0148	0.1667
Biomass	pfba	02_glycerol	aerobic	pre-infection	6	1	0.0207	0.1667
Biomass	pfba	02_glycerol	anaerobic	pre-infection	6	1	0.0004	0.1667
Biomass	pfba	03_palmitate	aerobic	pre-infection	6	1	0.114	0.1667
Biomass	pfba	04_oleate	aerobic	pre-infection	6	1	0.128	0.1667
Biomass	pfba	05_hexacosanoate	aerobic	pre-infection	6	1	0.2061	0.1667
Biomass	pfba	06_glucose_low	aerobic	biotrophic	6	1	0.0364	0.1667
Biomass	pfba	06_glucose_low	anaerobic	biotrophic	6	1	0.0074	0.1667
Biomass	pfba	07_sucrose_low	aerobic	biotrophic	6	1	0.0364	0.1667
Biomass	pfba	07_sucrose_low	anaerobic	biotrophic	6	1	0.0074	0.1667
Biomass	pfba	08_glutamate	aerobic	biotrophic	6	1	0.0527	0.1667
Biomass	pfba	08_glutamate	anaerobic	biotrophic	6	0	0.0	0.0
Biomass	pfba	09_glutamine	aerobic	biotrophic	6	1	0.0528	0.1667
Biomass	pfba	09_glutamine	anaerobic	biotrophic	6	0	0.0	0.0
Biomass	pfba	10_gaba	aerobic	biotrophic	6	1	0.0496	0.1667
Biomass	pfba	11_galacturonate	aerobic	necrotrophic	6	1	0.1493	0.1667
Biomass	pfba	11_galacturonate	anaerobic	necrotrophic	6	1	0.0204	0.1667
Biomass	pfba	12_xylose	aerobic	necrotrophic	6	1	0.1457	0.1667
Biomass	pfba	12_xylose	anaerobic	necrotrophic	6	1	0.0149	0.1667
Biomass	pfba	13_arabinose	aerobic	necrotrophic	6	1	0.1396	0.1667
Biomass	pfba	14_maltose	aerobic	necrotrophic	6	1	0.3642	0.1667
Biomass	pfba	14_maltose	anaerobic	necrotrophic	6	1	0.0741	0.1667
Biomass	pfba	15_mixed_aa	aerobic	necrotrophic	6	1	0.1424	0.1667
Biomass	pfba	15_mixed_aa	anaerobic	necrotrophic	6	1	0.0115	0.1667
Biomass	pfba	16_pre_infection_mix	aerobic	cocktail	6	1	0.0693	0.1667
Biomass	pfba	16_pre_infection_mix	anaerobic	cocktail	6	1	0.005	0.1667
Biomass	pfba	17_biotrophic_mix	aerobic	cocktail	6	1	0.0627	0.1667
Biomass	pfba	17_biotrophic_mix	anaerobic	cocktail	6	1	0.0094	0.1667
Biomass	pfba	18_necrotrophic_mix	aerobic	cocktail	6	1	0.4455	0.1667
Biomass	pfba	18_necrotrophic_mix	anaerobic	cocktail	6	1	0.0884	0.1667
Cell-wall polysaccharide	eflux	01_trehalose	aerobic	pre-infection	18	8	0.1667	0.4444
Cell-wall polysaccharide	eflux	01_trehalose	anaerobic	pre-infection	18	9	0.0678	0.5
Cell-wall polysaccharide	eflux	02_glycerol	aerobic	pre-infection	18	8	0.0475	0.4444
Cell-wall polysaccharide	eflux	02_glycerol	anaerobic	pre-infection	18	9	0.002	0.5
Cell-wall polysaccharide	eflux	03_palmitate	aerobic	pre-infection	18	8	0.2608	0.4444
Cell-wall polysaccharide	eflux	04_oleate	aerobic	pre-infection	18	8	0.293	0.4444
Cell-wall polysaccharide	eflux	05_hexacosanoate	aerobic	pre-infection	18	8	0.4716	0.4444
Cell-wall polysaccharide	eflux	06_glucose_low	aerobic	biotrophic	18	8	0.0833	0.4444
Cell-wall polysaccharide	eflux	06_glucose_low	anaerobic	biotrophic	18	9	0.0339	0.5
Cell-wall polysaccharide	eflux	07_sucrose_low	aerobic	biotrophic	18	8	0.0833	0.4444
Cell-wall polysaccharide	eflux	07_sucrose_low	anaerobic	biotrophic	18	9	0.0339	0.5
Cell-wall polysaccharide	eflux	08_glutamate	aerobic	biotrophic	18	9	0.1214	0.5
Cell-wall polysaccharide	eflux	08_glutamate	anaerobic	biotrophic	18	9	0.0012	0.5
Cell-wall polysaccharide	eflux	09_glutamine	aerobic	biotrophic	18	9	0.1215	0.5
Cell-wall polysaccharide	eflux	09_glutamine	anaerobic	biotrophic	18	9	0.0012	0.5
Cell-wall polysaccharide	eflux	10_gaba	aerobic	biotrophic	18	9	0.1142	0.5
Cell-wall polysaccharide	eflux	11_galacturonate	aerobic	necrotrophic	18	0	0.0	0.0
Cell-wall polysaccharide	eflux	11_galacturonate	anaerobic	necrotrophic	18	0	0.0	0.0
Cell-wall polysaccharide	eflux	12_xylose	aerobic	necrotrophic	18	8	0.3334	0.4444
Cell-wall polysaccharide	eflux	12_xylose	anaerobic	necrotrophic	18	8	0.0681	0.4444
Cell-wall polysaccharide	eflux	13_arabinose	aerobic	necrotrophic	18	8	0.3195	0.4444
Cell-wall polysaccharide	eflux	14_maltose	aerobic	necrotrophic	18	8	0.8335	0.4444
Cell-wall polysaccharide	eflux	14_maltose	anaerobic	necrotrophic	18	9	0.3388	0.5
Cell-wall polysaccharide	eflux	15_mixed_aa	aerobic	necrotrophic	18	7	0.3069	0.3889
Cell-wall polysaccharide	eflux	15_mixed_aa	anaerobic	necrotrophic	18	7	0.0247	0.3889
Cell-wall polysaccharide	eflux	16_pre_infection_mix	aerobic	cocktail	18	8	0.1587	0.4444
Cell-wall polysaccharide	eflux	16_pre_infection_mix	anaerobic	cocktail	18	9	0.0229	0.5
Cell-wall polysaccharide	eflux	17_biotrophic_mix	aerobic	cocktail	18	8	0.1434	0.4444
Cell-wall polysaccharide	eflux	17_biotrophic_mix	anaerobic	cocktail	18	9	0.0429	0.5
Cell-wall polysaccharide	eflux	18_necrotrophic_mix	aerobic	cocktail	18	7	0.8894	0.3889
Cell-wall polysaccharide	eflux	18_necrotrophic_mix	anaerobic	cocktail	18	7	0.1723	0.3889
Cell-wall polysaccharide	gimme	01_trehalose	aerobic	pre-infection	18	8	0.15	0.4444
Cell-wall polysaccharide	gimme	01_trehalose	anaerobic	pre-infection	18	9	0.061	0.5
Cell-wall polysaccharide	gimme	02_glycerol	aerobic	pre-infection	18	8	0.0427	0.4444
Cell-wall polysaccharide	gimme	02_glycerol	anaerobic	pre-infection	18	10	0.245	0.5556
Cell-wall polysaccharide	gimme	03_palmitate	aerobic	pre-infection	18	8	0.2347	0.4444
Cell-wall polysaccharide	gimme	04_oleate	aerobic	pre-infection	18	8	0.2637	0.4444
Cell-wall polysaccharide	gimme	05_hexacosanoate	aerobic	pre-infection	18	8	0.4244	0.4444
Cell-wall polysaccharide	gimme	06_glucose_low	aerobic	biotrophic	18	8	0.075	0.4444
Cell-wall polysaccharide	gimme	06_glucose_low	anaerobic	biotrophic	18	9	0.0305	0.5
Cell-wall polysaccharide	gimme	07_sucrose_low	aerobic	biotrophic	18	8	0.075	0.4444
Cell-wall polysaccharide	gimme	07_sucrose_low	anaerobic	biotrophic	18	10	0.0456	0.5556
Cell-wall polysaccharide	gimme	08_glutamate	aerobic	biotrophic	18	9	0.1093	0.5
Cell-wall polysaccharide	gimme	08_glutamate	anaerobic	biotrophic	18	8	0.0011	0.4444
Cell-wall polysaccharide	gimme	09_glutamine	aerobic	biotrophic	18	9	0.1094	0.5
Cell-wall polysaccharide	gimme	09_glutamine	anaerobic	biotrophic	18	9	0.0011	0.5
Cell-wall polysaccharide	gimme	10_gaba	aerobic	biotrophic	18	10	0.7708	0.5556
Cell-wall polysaccharide	gimme	11_galacturonate	aerobic	necrotrophic	18	8	0.3074	0.4444
Cell-wall polysaccharide	gimme	11_galacturonate	anaerobic	necrotrophic	18	8	0.0839	0.4444
Cell-wall polysaccharide	gimme	12_xylose	aerobic	necrotrophic	18	8	0.3	0.4444
Cell-wall polysaccharide	gimme	12_xylose	anaerobic	necrotrophic	18	8	0.0613	0.4444
Cell-wall polysaccharide	gimme	13_arabinose	aerobic	necrotrophic	18	8	0.2875	0.4444
Cell-wall polysaccharide	gimme	14_maltose	aerobic	necrotrophic	18	8	0.7501	0.4444
