rxn_id	name	subsystem	ec	kcat	kcat_source	mw_kDa	cost	reversible	abund_PDA	abund_half	abund_onetenth
rxn06449_m0	L-Valine:tRNAVal ligase (AMP-forming)_m0		6.1.1.9	0.2	brenda_fungal	122.03	610150.1562000031	False	231138882.46608216	266158899.933366	315064793.5608437
rxn01450_c0	3-(indol-3-yl)pyruvate carboxy-lyase [(2-indol-3-yl)acetaldehyde-forming]_c0		1.8.3.2	3600000.0	brenda_fungal	119.37	0.033159011205555755	True	566643493.2038821	588777280.7804655	15485335.080656294
rxn00929_m0	L-Proline:NAD+ 5-oxidoreductase_m0		1.5.1.2	603.17	brenda_any	29.61	49.08694984830147	True			
rxn02911_x0	(S)-3-Hydroxydodecanoyl-CoA hydro-lyase_x0		1.1.1.100	117.5	brenda_fungal	27.09	230.53087097872336	True	461397510.83215773	425781955.1422406	496432153.5702999
rxn09845_x0	fatty acyl-CoA transport via ABC system_x0		7.6.2.4	2.95	brenda_ecfamily	80.84	27404.296488135602	False	72347023.23985913	55428648.197616756	145128043.402824
rxn13380_c0	1-phosphatidylinositol-4,5-bisphosphate 5-phosphatase, yeast-specific_c0		3.1.3.36	11.0	brenda_fungal	142.69	12971.366621818272	False	72652885.2756979	50277201.81653872	109090197.76904172
rxn30050_c0	Phosphofructokinase_c0		2.7.1.11	355.1	brenda_any	86.0	242.18388887637306	False	153957271.30185235	160179602.26226708	137847906.11708578
rxn09477_x0	acyl-CoA oxidase_x0		1.3.3.6	8.59	brenda_fungal	88.99	10360.206034924347	False	90809125.66312547	86230620.62874764	100259834.45624089
rxn00920_c0	Guanosine 3',5'-cyclic phosphate 5'-nucleotidohydrolase_c0		3.1.4.17	21.0	brenda_fungal	95.13	4530.222468571445	False	84956014.09926973	44663911.39941445	99848193.4862456
rxn09435_c0	fatty-acyl-CoA synthase (n-C14:0CoA)_c0		6.4.1.2	16.0	brenda_fungal	11.37	710.9245837500004	False	2292697737.4000907	2044382185.2284021	1813032737.5321305
rxn02200_m0	2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase_m0		2.7.6.3	0.17	brenda_any	51.54	303158.8172941173	False	41364503.98718161	28073346.15686169	65737565.82114947
rxn04680_m0	R06866_m0		4.1.1.130	3.6	brenda_ecfamily	32.77	9101.653538888882	False			
rxn06556_c0	Dodecanoyl-[acyl-carrier-protein] hydrolase_c0		2.7.8.7	1.161	brenda_any	203.65	175405.13844961347	True	163046032.12912548	611307669.1863863	48967762.92428113
C14STR_c0	C 14 sterol reductase		1.3.1.70	1.3	brenda_ecfamily	54.47	41898.53718461529	False	210004190.37394378	97172790.91025174	269145319.14057493
rxn09296_x0	hydrogen peroxide reductase (thioredoxin)_x0		1.11.1.24	19.0	brenda_fungal	15.72	827.4736231578952	True	13611404157.237934	15176211649.374285	8648133279.658728
rxn00414_c0	hydrogen-carbonate:L-glutamine amido-ligase (ADP-forming, carbamate-phosphorylating)_c0		6.1.1.20	603.0	brenda_fungal	49.59	82.23893406301812	False	178804264.14246345	227033180.59418228	249093212.2546135
rxn01652_m0	S-Aminomethyldihydrolipoylprotein:(6S)-tetrahydrofolate aminomethyltransferase (ammonia-forming)_m0		2.1.2.10	18.7	brenda_any	18.79	1004.9760877005352	False	293654354.9224281	316933271.3951198	312198140.581039
rxn01653_m0	5-Formyltetrahydrofolate cyclo-ligase (ADP-forming)_m0		3.5.4.9	169.8	brenda_any	118.39	697.2295349823358	False	385749926.9761907	360711651.6600296	188475672.12430087
rxn00241_c0	GTP phosphohydrolase_c0		3.6.1.5	1402.2	brenda_any	73.85	52.66796379974327	False			
IPCS126_SC_c0	Inositol phosphorylceramide synthase  ceramide 1  26C   yeast specific		2.7.1.227	2.125	brenda_ecfamily	51.39	24182.79601882351	False			
rxn00800_c0	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming)_c0		4.3.2.2	7.5	brenda_any	57.33	7643.386858666653	True	199140076.85069418	177371804.95178962	173245516.97549844
rxn01255_c0	5-O-(1-Carboxyvinyl)-3-phosphoshikimate phosphate-lyase (chorismate-forming)_c0		4.2.3.5	0.87	brenda_fungal	43.7	50229.00993103446	False	141019799.35340282	205528135.38552383	148422756.99486685
rxn09713_c0	Mitochondrial dicarboxylate transporter_m0			10.0	default_no_ec	36.52	3651.810853999997	False			
rxn09560_c0	3',5'-cyclic-nucleotide phosphodiesterase 2_c0		3.1.4.17	21.0	brenda_fungal	95.13	4530.222468571445	False	84956014.09926973	44663911.39941445	99848193.4862456
rxn06493_m0	dihydrolipoylprotein:NAD+ oxidoreductase_m0		1.8.1.4	794.5	brenda_any	18.79	23.65393686595344	True	590598192.0832373	553279477.6210555	371455078.70345
rxn19830_c0	GLUTAMIDOTRANS-RXN.d_c0		4.3.2.10	8.7	brenda_fungal	59.19	6802.989912643666	False	83822330.9298142	115408021.71953	92571940.0788649
rxn09774_c0	Transport of L-carnitine and O-acyl-L-carnitine_m0			10.0	default_no_ec	35.69	3569.307983999997	False	50996289.486130446	67111286.37356411	327279738.13762975
rxn07328_c0	R07497_c0		5.-.-.-	12.0	ecclass_prior	24.61	2050.427361666666	False	84790116.84405094	68738505.40496743	32222826.69607429
rxn02305_c0	2-methyl-4-amino-5-hydroxymethylpyrimidine-diphosphate:4-methyl-5-(2-phosphoethyl)-thiazole 2-methyl-4-aminopyridine-5-methenyltransferase_c0		2.7.1.50	3.62	brenda_any	55.3	15277.550646408823	False	122049271.98936835	115727171.44546685	70497907.90766373
rxn09421_c0	fatty acyl-CoA synthase (n-C8:0CoA), lumped reaction_c0		6.4.1.2	16.0	brenda_fungal	11.37	710.9245837500004	False	2292697737.4000907	2044382185.2284021	1813032737.5321305
rxn09296_m0	hydrogen peroxide reductase (thioredoxin)_m0		1.11.1.25	22.68	brenda_any	25.42	1120.6811437389772	True	2393826377.122151	4143773186.372077	1462329174.113158
GLYt2r_c0	TRANS-RXNBWI-115637.ce.maizeexp.GLY_GLY_c0			10.0	default_no_ec	61.36	6135.768183999983	True	95166181.93676315	48180858.01268282	281632534.8550949
