ec	kcat	tier	n	n_fungal	n_any
1.3.3.4	111.0	brenda_any	84	0	84
1.3.3.5	29.0	brenda_fungal	37	3	37
1.3.3.6	8.59	brenda_fungal	26	2	26
1.3.5.1	60.0	brenda_fungal	111	2	111
1.3.5.2	2.2	brenda_fungal	85	2	85
1.3.5.3	0.2909	brenda_any	2	0	2
1.3.7.11	0.0157	brenda_any	6	0	6
1.3.7.15	0.0099	brenda_any	2	0	2
1.3.7.4	1.67	brenda_any	1	0	1
1.3.8.1	20.8	brenda_any	42	0	42
1.3.8.12	82.3	brenda_any	10	0	10
1.3.8.16	16.8	brenda_any	2	0	2
1.3.8.4	5.212	brenda_any	17	0	17
1.3.8.5	8050.0	brenda_any	22	0	22
1.3.8.6	13.31	brenda_any	30	0	30
1.3.8.7	19.56	brenda_any	82	0	82
1.3.8.8	3.825	brenda_any	6	0	6
1.3.98.1	190.0	brenda_fungal	12	4	12
1.3.98.3	684.0	brenda_any	5	0	5
1.3.98.5	0.0065	brenda_any	2	0	2
1.3.99.17	85.4	brenda_any	11	0	11
1.3.99.33	289.124	brenda_any	3	0	3
1.3.99.4	4658.82	brenda_any	56	0	56
1.3.99.5	2.24	brenda_any	3	0	3
1.4.1.1	968.1	brenda_any	72	0	72
1.4.1.12	65.0	brenda_any	6	0	6
1.4.1.13	39.5	brenda_any	11	0	11
1.4.1.14	70.0	brenda_any	5	0	5
1.4.1.16	790.3	brenda_any	102	0	102
1.4.1.19	20.2	brenda_any	19	0	19
1.4.1.2	221.0	brenda_any	63	0	63
1.4.1.20	68.0	brenda_any	81	0	81
1.4.1.21	70.5	brenda_any	31	0	31
1.4.1.23	159.0	brenda_any	12	0	12
1.4.1.26	65.0	brenda_any	4	0	4
1.4.1.28	4.6	brenda_any	19	0	19
1.4.1.3	131.6	brenda_any	127	0	127
1.4.1.4	21.0	brenda_fungal	55	8	55
1.4.1.5	4.317	brenda_any	4	0	4
1.4.1.7	11.12	brenda_any	5	0	5
1.4.1.8	176.4	brenda_any	19	0	19
1.4.1.9	108.938	brenda_any	112	0	112
1.4.2.3	121.68	brenda_any	3	0	3
1.4.3.1	217.0	brenda_fungal	70	8	70
1.4.3.10	26.4	brenda_any	20	0	20
1.4.3.11	75.0	brenda_any	11	0	11
1.4.3.12	10.651	brenda_any	60	0	60
1.4.3.13	7290.0	brenda_any	1	0	1
1.4.3.14	65.5	brenda_fungal	8	7	8
1.4.3.15	0.0833	brenda_fungal	1	1	1
1.4.3.16	6.462	brenda_any	27	0	27
1.4.3.19	2.376	brenda_any	132	0	132
1.4.3.2	0.16	brenda_fungal	131	15	131
1.4.3.20	0.888	brenda_any	7	0	7
1.4.3.21	20.0	brenda_fungal	92	13	92
1.4.3.22	159.0	brenda_fungal	100	16	100
1.4.3.23	0.5365	brenda_any	4	0	4
1.4.3.25	3.42	brenda_any	1	0	1
1.4.3.3	116.3	brenda_any	348	0	348
1.4.3.4	18.0	brenda_fungal	142	11	142
1.4.3.5	0.7	brenda_fungal	56	2	56
1.4.4.2	2.08	brenda_any	11	0	11
1.4.5.1	15.82	brenda_any	7	0	7
1.4.7.1	123.667	brenda_any	2	0	2
1.4.9.1	34.0	brenda_any	63	0	63
1.4.9.2	77.5	brenda_any	6	0	6
1.4.99.6	258.0	brenda_any	35	0	35
1.5.1.1	523.18	brenda_any	25	0	25
1.5.1.11	652.0	brenda_any	29	0	29
1.5.1.15	15.3	brenda_any	21	0	21
1.5.1.17	993.78	brenda_any	2	0	2
1.5.1.18	37.647	brenda_any	10	0	10
1.5.1.2	603.17	brenda_any	52	0	52
1.5.1.20	124.1	brenda_any	24	0	24
1.5.1.21	38.485	brenda_any	6	0	6
1.5.1.22	49.16	brenda_any	15	0	15
1.5.1.25	5.94	brenda_any	4	0	4
1.5.1.3	11.5	brenda_fungal	288	1	288
1.5.1.30	61.2	brenda_any	25	0	25
1.5.1.33	4.4	brenda_any	17	0	17
1.5.1.34	160.8	brenda_any	65	0	65
1.5.1.36	178.0	brenda_any	11	0	11
1.5.1.37	116.88	brenda_any	13	0	13
1.5.1.38	26.86	brenda_any	8	0	8
1.5.1.39	45.4	brenda_any	3	0	3
1.5.1.40	8.8	brenda_any	71	0	71
1.5.1.41	0.5806	brenda_any	5	0	5
1.5.1.42	221.0	brenda_any	5	0	5
1.5.1.47	2.51	brenda_any	4	0	4
1.5.1.48	4.21	brenda_any	11	0	11
1.5.1.49	90.255	brenda_any	4	0	4
1.5.1.5	17.926	brenda_any	28	0	28
1.5.1.50	1.68	brenda_any	3	0	3
1.5.1.52	0.26	brenda_any	4	0	4
1.5.1.53	49.26	brenda_any	3	0	3
1.5.1.54	34.8	brenda_any	19	0	19
1.5.1.55	2.57	brenda_any	4	0	4
1.5.1.6	58.6	brenda_any	5	0	5
1.5.1.7	18.8	brenda_fungal	1	1	1
1.5.3.1	16.76	brenda_any	43	0	43
1.5.3.10	13.88	brenda_any	7	0	7
1.5.3.13	25.2	brenda_any	30	0	30
1.5.3.14	50.2	brenda_any	28	0	28
1.5.3.16	684.0	brenda_fungal	40	4	40
1.5.3.17	39.0	brenda_fungal	56	9	56
1.5.3.19	720.4	brenda_any	2	0	2
1.5.3.21	1194.8	brenda_any	2	0	2
1.5.3.24	15.4	brenda_any	8	0	8
1.5.3.25	22.9	brenda_fungal	75	63	75
1.5.3.5	37.31	brenda_any	18	0	18
1.5.3.6	46.0	brenda_any	11	0	11
1.5.5.1	180.0	brenda_any	32	0	32
1.5.5.2	27.2	brenda_any	23	0	23
1.5.5.3	0.277	brenda_any	4	0	4
1.5.7.3	0.307	brenda_any	2	0	2
1.5.8.2	27.5	brenda_any	16	0	16
1.5.8.3	0.065	brenda_any	1	0	1
1.5.8.4	9.07	brenda_any	18	0	18
1.5.98.2	275.0	brenda_any	2	0	2
1.5.98.3	25.5	brenda_any	1	0	1
1.5.99.12	154.0	brenda_any	27	0	27
1.5.99.14	9.581	brenda_any	10	0	10
1.5.99.4	0.5841	brenda_any	2	0	2
1.5.99.5	0.7	brenda_any	1	0	1
1.6.1.1	262.3	brenda_any	17	0	17
1.6.2.2	800.0	brenda_any	221	0	221
1.6.2.4	102.0	brenda_fungal	120	2	120
1.6.2.6	213.5	brenda_any	8	0	8
1.6.3.1	4.24	brenda_any	2	0	2
1.6.3.2	55.64	brenda_any	3	0	3
1.6.3.3	115.0	brenda_any	1	0	1
1.6.3.4	300.86	brenda_any	10	0	10
1.6.5.10	15833.0	brenda_fungal	32	6	32
1.6.5.12	2.924	brenda_any	2	0	2
1.6.5.2	1548.0	brenda_any	103	0	103
1.6.5.4	176.0	brenda_any	9	0	9
1.6.5.5	4.17	brenda_fungal	80	2	80
1.6.5.9	0.031	brenda_fungal	1	1	1
1.6.99.1	8.07	brenda_any	22	0	22
1.7.1.1	1138.8	brenda_any	15	0	15
1.7.1.11	2.5	brenda_any	1	0	1
1.7.1.13	0.1402	brenda_any	10	0	10
1.7.1.14	1200.0	brenda_fungal	2	2	2
1.7.1.15	102.19	brenda_any	4	0	4
1.7.1.16	169.01	brenda_any	15	0	15
1.7.1.17	33888.0	brenda_any	24	0	24
1.7.1.2	470.0	brenda_any	1	0	1
1.7.1.3	1700.0	brenda_fungal	10	10	10
1.7.1.4	130.0	brenda_fungal	1	1	1
1.7.1.6	175.6	brenda_any	46	0	46
1.7.1.7	0.4485	brenda_any	4	0	4
1.7.2.1	144.0	brenda_any	85	0	85
1.7.2.2	2932.0	brenda_any	18	0	18
1.7.2.3	142.6	brenda_any	37	0	37
1.7.2.4	148.18	brenda_any	3	0	3
1.7.2.5	667.0	brenda_fungal	26	6	26
1.7.2.6	270.5	brenda_any	6	0	6
1.7.2.8	2.87	brenda_any	2	0	2
1.7.2.9	13.44	brenda_any	3	0	3
1.7.3.1	15.0	brenda_fungal	33	27	33
1.7.3.3	32.74	brenda_fungal	20	3	20
1.7.3.5	350.0	brenda_fungal	1	1	1
1.7.3.6	0.53	brenda_any	1	0	1
1.7.5.1	104.4	brenda_any	4	0	4
1.7.5.2	152.1	brenda_any	4	0	4
1.7.7.1	224.62	brenda_any	22	0	22
1.7.7.2	989.0	brenda_any	2	0	2
1.7.99.1	3.8	brenda_any	1	0	1
1.8.1.10	1100.0	brenda_any	1	0	1
1.8.1.12	239.7	brenda_any	42	0	42
1.8.1.13	51.43	brenda_any	2	0	2
1.8.1.14	21.04	brenda_any	33	0	33
1.8.1.15	124.8	brenda_any	24	0	24
1.8.1.16	230.83	brenda_any	4	0	4
1.8.1.2	577.6	brenda_any	13	0	13
1.8.1.20	2.5	brenda_any	1	0	1
1.8.1.22	23.262	brenda_any	3	0	3
1.8.1.4	794.5	brenda_any	84	0	84
1.8.1.5	0.2544	brenda_any	3	0	3
1.8.1.6	30.3	brenda_any	1	0	1
1.8.1.7	900.0	brenda_fungal	67	2	67
1.8.1.8	3.52	brenda_any	12	0	12
1.8.1.9	47.1	brenda_fungal	188	5	188
1.8.2.1	371.18	brenda_any	47	0	47
1.8.2.2	14600.0	brenda_any	19	0	19
1.8.2.3	3.9	brenda_any	1	0	1
1.8.3.1	27.03	brenda_any	180	0	180
1.8.3.2	3600000.0	brenda_fungal	59	25	59
1.8.3.3	3600000.0	brenda_fungal	12	5	12
1.8.3.5	0.0001	brenda_any	1	0	1
1.8.3.7	0.14	brenda_any	14	0	14
1.8.4.1	0.078	brenda_fungal	2	2	2
1.8.4.10	2.36	brenda_any	9	0	9
1.8.4.11	3.78	brenda_any	53	0	53
1.8.4.12	0.564	brenda_any	63	0	63
