rxn_id	compartment	equation_cpd_ids	equation_names	reaction_name	source	log_action
rxn02508_c0	c0	cpd02642_c0 --> cpd00956_c0	N-5-phosphoribosyl-anthranilate_c0 --> 1-(2-carboxyphenylamino)-1-deoxyribulose 5-phosphate_c0	N-(5-Phospho-beta-D-ribosyl)anthranilate ketol-isomerase_c0	excel_added_to_fsp237	added_imm904
rxn01927_c0	c0	cpd00007_c0 + cpd00483_c0 --> cpd00067_c0 + cpd02692_c0	O2_c0 + 3-Hydroxyanthranilate_c0 --> H+_c0 + 2-Amino-3-carboxymuconate semialdehyde_c0	3-Hydroxyanthranilate:oxygen 3,4-oxidoreductase (decyclizing)_c0	excel_added_to_fsp237	added_imm904
rxn02465_m0	m0	cpd00006_m0 + cpd00009_m0 + cpd00918_m0 <=> cpd00005_m0 + cpd00067_m0 + cpd02552_m0	NADP_m0 + Phosphate_m0 + 2-Acetamido-5-oxopentanoate_m0 <=> NADPH_m0 + H+_m0 + n-acetylglutamyl-phosphate_m0	N-acetyl-L-glutamate-5-semialdehyde:NADP+ 5-oxidoreductase (phosphrylating)	excel_added_to_fsp237	added_equation
rxn03175_c0	c0	cpd02979_c0 --> cpd02991_c0	phosphoribosylformiminoaicar-phosphate_c0 --> phosphoribulosylformimino-AICAR-phosphate_c0	N-(5'-Phospho-D-ribosylformimino)-5-amino-1- (5''-phospho-D-ribosyl)-4-imidazolecarboxamide ketol-isomerase_c0	excel_added_to_fsp237	added_imm904
rxn02466_m0	m0	cpd00919_m0 <=> cpd00001_m0 + cpd02483_m0	Homocitrate_m0 <=> H2O_m0 + cpd02483_m0	2-Hydroxybutane-1,2,4-tricarboxylate hydro-lyase	excel_added_to_fsp237	added_equation
rxn03034_m0	m0	cpd03372_m0 <=> cpd00001_m0 + cpd02483_m0	cpd03372_m0 <=> H2O_m0 + cpd02483_m0	Homoisocitrate hydro-lyase	excel_added_to_fsp237	added_equation
rxn09638_c0	c0	cpd00002_c0 + cpd00005_c0 + cpd00705_c0 --> cpd00006_c0 + cpd00012_c0 + cpd00018_c0 + cpd02522_c0	ATP_c0 + NADPH_c0 + L-2-Aminoadipate_c0 --> NADP_c0 + PPi_c0 + AMP_c0 + cpd02522_c0	L-aminoadipate-semialdehyde dehydrogenase	excel_added_to_fsp237	added_equation
rxn01663_c0	c0	cpd00001_c0 + cpd00006_c0 + cpd00351_c0 <=> cpd00005_c0 + cpd00023_c0 + cpd00067_c0 + cpd02522_c0	H2O_c0 + NADP_c0 + Saccharopine_c0 <=> NADPH_c0 + L-Glutamate_c0 + H+_c0 + cpd02522_c0	 N6-(L-1,3-Dicarboxypropyl)-L-lysine:NADP+ oxidoreductase	excel_added_to_fsp237	added_equation
rxn05035_c0	c0	cpd00067_c0 + cpd00239_c0 + cpd00738_c0 --> cpd00009_c0 + cpd00084_c0	H+_c0 + H2S_c0 + phosphoserine_c0 --> Phosphate_c0 + L-Cysteine_c0	 O-phospho-L-serine:hydrogen-sulfide 2-amino-2-carboxyethyltransferase	excel_added_to_fsp237	added_equation
rxn01816_c0	c0	cpd00036_c0 + cpd00067_c0 + cpd00424_c0 <=> cpd00084_c0 + cpd00822_c0	Succinate_c0 + H+_c0 + Cystathionine_c0 <=> L-Cysteine_c0 + O-Succinyl-L-homoserine_c0	rxn01816 [R02508]	excel_added_to_fsp237	added_equation
rxn00950_c0	c0	cpd00001_c0 + cpd00424_c0 --> cpd00013_c0 + cpd00020_c0 + cpd00135_c0	H2O_c0 + Cystathionine_c0 --> NH3_c0 + Pyruvate_c0 + Homocysteine_c0	Cystathionine L-homocysteine-lyase (deaminating)_c0	excel_added_to_fsp237	added_imm904
rxn08703_c0	c0	cpd00135_c0 + cpd02027_c0 --> 2 cpd00060_c0 + cpd00067_c0	Homocysteine_c0 + S-Methyl-L-methionine_c0 --> 2 L-Methionine_c0 + H+_c0	S-methylmethionine homocysteine transmethylase	excel_added_to_fsp237	added_equation
rxn00692_c0	c0	cpd00001_c0 + cpd00033_c0 + cpd00125_c0 <=> cpd00054_c0 + cpd00087_c0	H2O_c0 + Glycine_c0 + 5-10-Methylenetetrahydrofolate_c0 <=> L-Serine_c0 + Tetrahydrofolate_c0	 5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase	excel_added_to_fsp237	added_equation
rxn00692_m0	m0	cpd00001_m0 + cpd00033_m0 + cpd00125_m0 <=> cpd00054_m0 + cpd00087_m0	H2O_m0 + Glycine_m0 + 5-10-Methylenetetrahydrofolate_m0 <=> L-Serine_m0 + Tetrahydrofolate_m0	 5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase	excel_added_to_fsp237	added_equation
rxn11084_c0	c0	cpd00118_c0 + cpd16165_c0 <=> cpd00147_c0 + cpd00264_c0	Putrescine_c0 + cpd16165_c0 <=> 5-Methylthioadenosine_c0 + Spermidine_c0	spermidine synthase	excel_added_to_fsp237	added_equation
rxn05107_c0	c0	cpd00009_c0 + cpd11255_c0 --> cpd00001_c0 + cpd11295_c0	Phosphate_c0 + cpd11255_c0 --> H2O_c0 + 2,3-diketo5-methylthio-1-phosphopentane_c0	5-(methylthio)-2,3-dioxopentyl-phosphate phosphohydrolase (isomerizing)	excel_added_to_fsp237	added_equation
rxn05091_c0	c0	cpd00007_c0 + cpd11255_c0 <=> cpd00047_c0 + cpd00067_c0 + cpd00204_c0 + cpd05191_c0	O2_c0 + cpd11255_c0 <=> Formate_c0 + H+_c0 + cpd00204_c0 + cpd05191_c0	1,2-dihydroxy-5-(methylthio)pent-1-en-3-one:oxygen oxidoreductase (formate- and CO-forming)	excel_added_to_fsp237	added_equation
rxn05092_c0	c0	cpd00007_c0 + cpd11255_c0 --> cpd00047_c0 + 2 cpd00067_c0 + cpd00869_c0	O2_c0 + cpd11255_c0 --> Formate_c0 + 2 H+_c0 + 4-methylthio 2-oxobutyrate_c0	1,2-dihydroxy-5-(methylthio)pent-1-en-3-one:oxygen oxidoreductase (formate-forming)	excel_added_to_fsp237	added_equation
rxn13209_c0	c0	cpd00067_c0 + cpd00200_c0 --> cpd00011_c0 + cpd04534_c0	H+_c0 + 4MOP_c0 --> CO2_c0 + 3-Methylbutanal_c0	RXN-7692.c_c0	excel_added_to_fsp237	added_imm904
rxn01840_c0	c0	cpd00001_c0 + cpd00003_c0 + cpd00464_c0 --> cpd00004_c0 + 2 cpd00067_c0 + cpd00430_c0	H2O_c0 + NAD_c0 + alpha-Tolualdehyde_c0 --> NADH_c0 + 2 H+_c0 + PACT_c0	Phenylacetaldehyde:NAD+ oxidoreductase_c0	excel_added_to_fsp237	added_imm904
rxn00522_c0	c0	cpd00001_c0 + cpd00007_c0 + cpd00069_c0 --> cpd00013_c0 + cpd00025_c0 + cpd00868_c0	H2O_c0 + O2_c0 + L-Tyrosine_c0 --> NH3_c0 + H2O2_c0 + p-hydroxyphenylpyruvate_c0	L-Tyrosine:oxygen oxidoreductase (deaminating)	excel_added_to_fsp237	added_equation
rxn01937_m0	m0	cpd00001_m0 + cpd00003_m0 + cpd00486_m0 --> cpd00004_m0 + 2 cpd00067_m0 + cpd00703_m0	H2O_m0 + NAD_m0 + Indoleacetaldehyde_m0 --> NADH_m0 + 2 H+_m0 + Indoleacetate_m0	Indole-3-acetaldehyde:NAD+ oxidoreductase_m0	excel_added_to_fsp237	added_imm904
rxn15507_c0	c0	cpd00024_c0 + cpd19042_c0 <=> cpd00023_c0 + cpd19041_c0	2-Oxoglutarate_c0 + L-erythro-4-Hydroxyglutamate_c0 <=> L-Glutamate_c0 + cpd19041_c0	 [L-erythro-4-hydroxyglutamate:2-oxoglutarate aminotransferase]	excel_added_to_fsp237	added_equation
rxn15507_m0	m0	cpd00024_m0 + cpd19042_m0 <=> cpd00023_m0 + cpd19041_m0	2-Oxoglutarate_m0 + L-erythro-4-Hydroxyglutamate_m0 <=> L-Glutamate_m0 + cpd19041_m0	nan	excel_added_to_fsp237	added_equation
rxn02061_c0	c0	cpd00264_c0 + cpd00837_c0 --> cpd00067_c0 + cpd00147_c0 + cpd00558_c0	Spermidine_c0 + S-Adenosylmethioninamine_c0 --> H+_c0 + 5-Methylthioadenosine_c0 + Spermine_c0	S-adenosylmethioninamine:spermidine 3-aminopropyltransferase_c0	excel_added_to_fsp237	added_imm904
rxn00740_c0	c0	cpd00001_c0 + cpd00822_c0 <=> cpd00013_c0 + cpd00036_c0 + cpd00067_c0 + cpd00094_c0	H2O_c0 + O-Succinyl-L-homoserine_c0 <=> NH3_c0 + Succinate_c0 + H+_c0 + 2-Oxobutyrate_c0	O-Succinyl-L-homoserine succinate-lyase (deaminating; 2-oxobutanoate-forming)_c0	excel_added_to_fsp237	added_imm904
rxn02752_c0	c0	cpd00001_c0 + cpd00007_c0 + cpd01680_c0 --> cpd00025_c0 + cpd00470_c0 + cpd01504_c0	H2O_c0 + O2_c0 + N1-Acetylspermine_c0 --> H2O2_c0 + N1-Acetylspermidine_c0 + 3-Aminopropanal_c0	N1-acetylspermine:oxygen oxidoreductase (3-acetamidopropanal-forming)_c0	excel_added_to_fsp237	added_imm904
rxn13388_c0	c0	cpd00001_c0 + cpd00007_c0 + cpd00558_c0 --> cpd00025_c0 + cpd00264_c0 + cpd01504_c0	H2O_c0 + O2_c0 + Spermine_c0 --> H2O2_c0 + Spermidine_c0 + 3-Aminopropanal_c0	spermidine:oxygen oxidoreductase (spermidine-forming)_c0	excel_added_to_fsp237	added_imm904
rxn09878_c0	c0	cpd00001_c0 + cpd00007_c0 + cpd00470_c0 --> cpd00025_c0 + cpd01504_c0 + cpd01758_c0	H2O_c0 + O2_c0 + N1-Acetylspermidine_c0 --> H2O2_c0 + 3-Aminopropanal_c0 + N-Acetylputrescine_c0	Polyamine oxidase_c0	excel_added_to_fsp237	added_imm904
rxn00165_c0	c0	cpd00054_c0 --> cpd00013_c0 + cpd00020_c0	L-Serine_c0 --> NH3_c0 + Pyruvate_c0	L-serine ammonia-lyase_c0	excel_added_to_fsp237	added_imm904
rxn22781_c0	c0	cpd00001_c0 + cpd00003_c0 + cpd01504_c0 --> cpd00004_c0 + 2 cpd00067_c0 + cpd00085_c0	H2O_c0 + NAD_c0 + 3-Aminopropanal_c0 --> NADH_c0 + 2 H+_c0 + beta-Alanine_c0	RXN-12332.x_c0	excel_added_to_fsp237	added_imm904
rxn00342_c0	c0	cpd00001_c0 + cpd00132_c0 --> cpd00013_c0 + cpd00041_c0	H2O_c0 + L-Asparagine_c0 --> NH3_c0 + L-Aspartate_c0	L-Asparagine amidohydrolase_c0	excel_added_to_fsp237	added_imm904
rxn00623_c0	c0	3 cpd00001_c0 + 3 cpd00006_c0 + cpd00239_c0 <=> 3 cpd00005_c0 + 3 cpd00067_c0 + cpd00081_c0	3 H2O_c0 + 3 NADP_c0 + H2S_c0 <=> 3 NADPH_c0 + 3 H+_c0 + Sulfite_c0	hydrogen-sulfide:NADP+ oxidoreductase	excel_added_to_fsp237	added_equation
