rxn_id	name	compartment	direction	lower_bound	upper_bound	equation_cpd	equation_name	ec_number	gpr	subsystem	n_metabolites	flux
frxn09423_c0	fatty acid synthase (n-C26:0)_c0	c0	=>	0.0	999999.0	2 cpd00005_c0 + 2 cpd00067_c0 + cpd00070_c0 + cpd29705_c0 --> cpd00001_c0 + 2 cpd00006_c0 + cpd00010_c0 + cpd00011_c0 + cpd15241_c0	2 NADPH_c0 + 2 H+_c0 + Malonyl-CoA_c0 + tetracosanoyl-CoA  (n-C24:0CoA)_c0 --> H2O_c0 + 2 NADP_c0 + CoA_c0 + CO2_c0 + Hexacosanoyl-CoA_c0		gene_12844 or gene_9021 or gene_5506 or gene_6410		9	0.2509783156874042
rxn09606_c0	alkaline ceramidase (ceramide-1), endoplasmic reticulum_c0	c0	=>	0.0	1000.0	cpd00623_c0 + cpd15241_c0 --> cpd00010_c0 + 2 cpd00067_c0 + cpd15221_c0	Sphinganine_c0 + Hexacosanoyl-CoA_c0 --> CoA_c0 + 2 H+_c0 + Ceramide-1 Sphinganine:n-C26:0)_c0				5	0.2509783156874042
rxn09608_c0	Ceramide-1 hydroxylase (26C)_c0	c0	=>	0.0	999999.0	cpd00005_c0 + cpd00007_c0 + cpd00067_c0 + cpd15221_c0 --> cpd00001_c0 + cpd00006_c0 + cpd15225_c0	NADPH_c0 + O2_c0 + H+_c0 + Ceramide-1 Sphinganine:n-C26:0)_c0 --> H2O_c0 + NADP_c0 + Ceramide-2 Phytosphingosine:n-C26:0)_c0		gene_11213		7	0.24491272027863423
IPCS326_SC_c0	Inositol phosphorylceramide synthase  ceramide 3  26C   yeast specific	c0	=>	0.0	999999.0	cpd15227_c0 + 0.01 ptd1ino-SC-c_c0 --> 0.01 cpd15192_c0 + 0.01 cpd15248_c0	Ceramide-3 Phytosphingosine:n-C26:0OH)_c0 + 0.01 Phosphatidyl 1D myo inositol  yeast specific C4140H7644O1300P100 --> 0.01 1,2-Diacylglycerol, yeast-specific_c0 + 0.01 Inositol phosphorylceramide, ceramide-3 (26C), yeast-specific_c0		gene_8702		4	0.23877845775202916
rxn09600_c0	Ceramide-3 synthase (26C)_c0	c0	=>	0.0	999999.0	cpd00005_c0 + cpd00007_c0 + cpd00067_c0 + cpd15225_c0 --> cpd00001_c0 + cpd00006_c0 + cpd15227_c0	NADPH_c0 + O2_c0 + H+_c0 + Ceramide-2 Phytosphingosine:n-C26:0)_c0 --> H2O_c0 + NADP_c0 + Ceramide-3 Phytosphingosine:n-C26:0OH)_c0		gene_31		7	0.2387784577520291
rxn00973_m0	citrate hydroxymutase_m0	m0	<=>	-1000.0	1000.0	cpd00137_m0 <=> cpd00260_m0	Citrate_m0 <=> Isocitrate_m0		gene_2525 or gene_11562		2	0.23685577845270286
ASPGLUtp_c0	aspartate-glutamate peroxisomal shuttle_x0	c0;x0	<=>	-999999.0	999999.0	cpd00023_x0 + cpd00041_c0 <=> cpd00023_c0 + cpd00041_x0	L-Glutamate_x0 + L-Aspartate_c0 <=> L-Glutamate_c0 + L-Aspartate_x0				4	0.2368557784527028
rxn00260_x0	L-Aspartate:2-oxoglutarate aminotransferase_x0	x0	<=>	-999999.0	999999.0	cpd00024_x0 + cpd00041_x0 <=> cpd00023_x0 + cpd00032_x0	2-Oxoglutarate_x0 + L-Aspartate_x0 <=> L-Glutamate_x0 + Oxaloacetate_x0		gene_8831		4	0.2368557784527028
rxn19316_x0	citrate condensing enzyme_x0	c0;x0	=>	0.0	1000.0	cpd00001_c0 + cpd00022_c0 + cpd00032_x0 --> cpd00010_c0 + cpd00067_c0 + cpd00137_c0	H2O_c0 + Acetyl-CoA_c0 + Oxaloacetate_x0 --> CoA_c0 + H+_c0 + Citrate_c0		gene_4823		6	0.2368557784527028
rxn08096_c0	alpha-ketoglutarate transport via diffusion (extracellular to periplasm)_x0	c0;x0	<=>	-999999.0	999999.0	cpd00024_c0 <=> cpd00024_x0	2-Oxoglutarate_c0 <=> 2-Oxoglutarate_x0				2	0.2368557784527028
