rxn_id	name	old_gpr	new_gpr	kept_gene_count	mapped_from_ch63r	unmapped_ch63r_removed	foreign_tokens_removed	curated_ch63r_from_excel	foreign_tokens_in_gpr	weak_matches_used
rxn09538_c0	1-phosphatidylinositol 3-kinase, yeast-specific	NP_013341.1 and NP_012600.1 and NP_012719.2	gene_9402	0	1	0	3	CH63R_07596	NP_013341.1;NP_012600.1;NP_012719.2	
rxn16107_m0	 geranylgeranyl-diphosphate:isopentenyl-diphosphate transferase (adding 2 isopentenyl units)		gene_11727	0	1	0	0	CH63R_12248		
rxn13477_m0	(2E,6E)-farnesyl-diphosphate:isopentenyl-diphosphate farnesyltranstransferase (adding 3 isopentenyl units)		gene_11727	0	1	0	0	CH63R_12248		
rxn09622_c0	 C-4 sterol methyl oxidase (4,4-dimethylzymosterol)		gene_12719 or gene_1482	0	3	0	0	CH63R_03833;CH63R_04639;CH63R_13325		CH63R_03833
rxn13416_c0	Acyl-CoA:zymosterol acyltransferase, yeast-specific_c0	YCR048W	gene_7067 or gene_7466	0	2	0	1	CH63R_09453;CH63R_13093	YCR048W	
rxn05918_c0	GDPmannose:dolichyl-phosphate O-beta-D-mannosyltransferase		gene_1904 or gene_9799	0	2	1	0	CH63R_02901;CH63R_06775;CH63R_11412		
rxn00175_x0	Acetate:CoA ligase (AMP-forming)_x0	YAL054C	gene_9278	0	1	0	1	CH63R_10237	YAL054C	
rxn19047_r0	trans-cerot-2-enoyl-CoA reductase	NP_010269.1	gene_9021	0	1	0	1	CH63R_10413	NP_010269.1	
rxn09549_c0	 Ethanolaminephosphotransferase, yeast-specific		gene_4879 or gene_7353	0	2	0	0	CH63R_05917;CH63R_07494		
rxn50927_c0	nan		gene_10178	0	1	0	0	CH63R_02795		
rxn24251_c0	IP3/IP4 6-/3-kinase		gene_12935	0	1	0	0	CH63R_13753		
rxn09629_c0	 C-14 sterol reductase		gene_7936 or gene_4914	0	2	0	0	CH63R_03458;CH63R_08596		
rxn15542_m0	(2E,6E)-farnesyl-diphosphate:isopentenyl-diphosphate cistransferase (adding 10-55 isopentenyl units)		gene_556	0	1	0	0	CH63R_00913		
rxn05913_m0	Dolichyl-diphosphate phosphohydrolase		gene_10841	0	1	0	0	CH63R_04347		
