pathway	condition_id	stage	O2	sum_abs_flux	n_active	n_total	active_rate
Biomass	11_galacturonate	necrotrophic	aerobic	0.149	1	6	0.167
Cell-wall polysaccharide	11_galacturonate	necrotrophic	aerobic	0.342	8	18	0.444
Cofactor / vitamin biosynthesis	11_galacturonate	necrotrophic	aerobic	5.764	40	117	0.342
Compatible solute / mannitol	11_galacturonate	necrotrophic	aerobic	0.06	2	2	1.0
Exchange	11_galacturonate	necrotrophic	aerobic	42.192	10	170	0.059
Fatty-acid biosynthesis	11_galacturonate	necrotrophic	aerobic	0.0	0	38	0.0
GAM / maintenance	11_galacturonate	necrotrophic	aerobic	0.0	0	1	0.0
Glycolysis / gluconeogenesis	11_galacturonate	necrotrophic	aerobic	33.212	27	58	0.466
Lipid / membrane	11_galacturonate	necrotrophic	aerobic	0.613	13	35	0.371
Melanin / DHN	11_galacturonate	necrotrophic	aerobic	0.001	7	7	1.0
Nucleotide metabolism	11_galacturonate	necrotrophic	aerobic	1.008	8	21	0.381
Other / unassigned	11_galacturonate	necrotrophic	aerobic	91.25	207	576	0.359
Oxidative phosphorylation / ETC	11_galacturonate	necrotrophic	aerobic	49.115	7	24	0.292
Pectin / D-galacturonate (Ashwell)	11_galacturonate	necrotrophic	aerobic	25.0	5	6	0.833
Pentose phosphate pathway	11_galacturonate	necrotrophic	aerobic	23.567	15	20	0.75
Pentose-sugar catabolism	11_galacturonate	necrotrophic	aerobic	0.0	0	6	0.0
Sink / demand	11_galacturonate	necrotrophic	aerobic	0.001	1	1	1.0
Storage (glycogen / trehalose)	11_galacturonate	necrotrophic	aerobic	0.048	2	7	0.286
Sulfur / nitrogen assimilation	11_galacturonate	necrotrophic	aerobic	0.012	1	3	0.333
TCA cycle	11_galacturonate	necrotrophic	aerobic	17.367	15	34	0.441
Transport (inter-compartmental)	11_galacturonate	necrotrophic	aerobic	84.999	58	256	0.227
β-oxidation (peroxisomal)	11_galacturonate	necrotrophic	aerobic	0.0	0	54	0.0
Amino-acid metabolism	11_galacturonate	necrotrophic	anaerobic	0.975	50	162	0.309
Biomass	11_galacturonate	necrotrophic	anaerobic	0.02	1	6	0.167
Cell-wall polysaccharide	11_galacturonate	necrotrophic	anaerobic	0.093	8	18	0.444
Cofactor / vitamin biosynthesis	11_galacturonate	necrotrophic	anaerobic	4.948	39	117	0.333
Compatible solute / mannitol	11_galacturonate	necrotrophic	anaerobic	0.008	2	2	1.0
Exchange	11_galacturonate	necrotrophic	anaerobic	25.98	14	170	0.082
Fatty-acid biosynthesis	11_galacturonate	necrotrophic	anaerobic	0.0	0	38	0.0
GAM / maintenance	11_galacturonate	necrotrophic	anaerobic	0.0	0	1	0.0
Glycolysis / gluconeogenesis	11_galacturonate	necrotrophic	anaerobic	38.902	27	58	0.466
Lipid / membrane	11_galacturonate	necrotrophic	anaerobic	0.059	11	35	0.314
Melanin / DHN	11_galacturonate	necrotrophic	anaerobic	0.0	7	7	1.0
Nucleotide metabolism	11_galacturonate	necrotrophic	anaerobic	0.138	8	21	0.381
Other / unassigned	11_galacturonate	necrotrophic	anaerobic	11.46	206	576	0.358
Oxidative phosphorylation / ETC	11_galacturonate	necrotrophic	anaerobic	0.145	5	24	0.208
Pectin / D-galacturonate (Ashwell)	11_galacturonate	necrotrophic	anaerobic	25.0	5	6	0.833
Pentose phosphate pathway	11_galacturonate	necrotrophic	anaerobic	13.099	13	20	0.65
Pentose-sugar catabolism	11_galacturonate	necrotrophic	anaerobic	0.0	0	6	0.0
Sink / demand	11_galacturonate	necrotrophic	anaerobic	0.023	1	1	1.0
Storage (glycogen / trehalose)	11_galacturonate	necrotrophic	anaerobic	0.007	2	7	0.286
Sulfur / nitrogen assimilation	11_galacturonate	necrotrophic	anaerobic	0.025	1	3	0.333
TCA cycle	11_galacturonate	necrotrophic	anaerobic	0.274	14	34	0.412
Transport (inter-compartmental)	11_galacturonate	necrotrophic	anaerobic	20.588	63	256	0.246
β-oxidation (peroxisomal)	11_galacturonate	necrotrophic	anaerobic	0.0	0	54	0.0
Amino-acid metabolism	12_xylose	necrotrophic	aerobic	2.667	51	162	0.315
Biomass	12_xylose	necrotrophic	aerobic	0.146	1	6	0.167
Cell-wall polysaccharide	12_xylose	necrotrophic	aerobic	0.333	8	18	0.444
Cofactor / vitamin biosynthesis	12_xylose	necrotrophic	aerobic	1.759	38	117	0.325
Compatible solute / mannitol	12_xylose	necrotrophic	aerobic	0.058	2	2	1.0
Exchange	12_xylose	necrotrophic	aerobic	34.263	9	170	0.053
Fatty-acid biosynthesis	12_xylose	necrotrophic	aerobic	0.0	0	38	0.0
GAM / maintenance	12_xylose	necrotrophic	aerobic	0.0	0	1	0.0
Glycolysis / gluconeogenesis	12_xylose	necrotrophic	aerobic	44.38	25	58	0.431
Lipid / membrane	12_xylose	necrotrophic	aerobic	0.266	10	35	0.286
Melanin / DHN	12_xylose	necrotrophic	aerobic	0.001	7	7	1.0
Nucleotide metabolism	12_xylose	necrotrophic	aerobic	0.984	8	21	0.381
Other / unassigned	12_xylose	necrotrophic	aerobic	94.813	208	576	0.361
Oxidative phosphorylation / ETC	12_xylose	necrotrophic	aerobic	47.265	8	24	0.333
Pectin / D-galacturonate (Ashwell)	12_xylose	necrotrophic	aerobic	0.0	0	6	0.0
Pentose phosphate pathway	12_xylose	necrotrophic	aerobic	20.954	14	20	0.7
Pentose-sugar catabolism	12_xylose	necrotrophic	aerobic	10.0	2	6	0.333
Sink / demand	12_xylose	necrotrophic	aerobic	0.001	1	1	1.0
Storage (glycogen / trehalose)	12_xylose	necrotrophic	aerobic	0.047	2	7	0.286
Sulfur / nitrogen assimilation	12_xylose	necrotrophic	aerobic	0.012	1	3	0.333
TCA cycle	12_xylose	necrotrophic	aerobic	2.354	15	34	0.441
Transport (inter-compartmental)	12_xylose	necrotrophic	aerobic	60.815	54	256	0.211
β-oxidation (peroxisomal)	12_xylose	necrotrophic	aerobic	0.0	0	54	0.0
Amino-acid metabolism	12_xylose	necrotrophic	anaerobic	0.711	50	162	0.309
Biomass	12_xylose	necrotrophic	anaerobic	0.015	1	6	0.167
Cell-wall polysaccharide	12_xylose	necrotrophic	anaerobic	0.068	8	18	0.444
Cofactor / vitamin biosynthesis	12_xylose	necrotrophic	anaerobic	2.821	41	117	0.35
Compatible solute / mannitol	12_xylose	necrotrophic	anaerobic	0.006	2	2	1.0
Exchange	12_xylose	necrotrophic	anaerobic	15.067	13	170	0.076
Fatty-acid biosynthesis	12_xylose	necrotrophic	anaerobic	0.0	0	38	0.0
GAM / maintenance	12_xylose	necrotrophic	anaerobic	0.0	0	1	0.0
Glycolysis / gluconeogenesis	12_xylose	necrotrophic	anaerobic	22.378	25	58	0.431
Lipid / membrane	12_xylose	necrotrophic	anaerobic	0.043	11	35	0.314
Melanin / DHN	12_xylose	necrotrophic	anaerobic	0.0	7	7	1.0
Nucleotide metabolism	12_xylose	necrotrophic	anaerobic	0.101	8	21	0.381
