rxn_id	seed_base	pathway_bucket	kegg_reaction	kegg_pathway_id	kegg_pathway_name	ec_number
rxn00248_m0	rxn00248	TCA cycle	R00342	rn00020;rn00620;rn00630;rn00680;rn00710;rn00720;rn01110;rn01200	Citrate cycle (TCA cycle;Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Methane metabolism;Carbon fixation in photosynthetic organisms;Carbon fixation pathways in prokaryotes;Biosynthesis of secondary metabolites;Carbon metabolism	1.1.1.299|1.1.1.37
rxn00506_m0	rxn00506	Other / unassigned	R00710	rn00010;rn00620;rn01110	Glycolysis / Gluconeogenesis;Pyruvate metabolism;Biosynthesis of secondary metabolites	1.2.1.3|1.2.1.5
rxn08067_c0	rxn08067	Other / unassigned				
rxn00062_c0	rxn00062	GAM / maintenance	R00086;R10531	rn00230	Purine metabolism	3.6.1.15|3.6.1.3|3.6.1.5|3.6.1.8|3.6.3.1|3.6.3.10|3.6.3.11|3.6.3.12|3.6.3.14|3.6.3.15|3.6.3.16|3.6.3.17|3.6.3.18|3.6.3.19|3.6.3.2|3.6.3.20|3.6.3.21|3.6.3.22|3.6.3.23|3.6.3.24|3.6.3.25|3.6.3.26|3.6.3.27|3.6.3.28|3.6.3.29|3.6.3.3|3.6.3.30|3.6.3.31|3.6.3.32|3.6.3.33|3.6.3.34|3.6.3.35|3.6.3.36|3.6.3.37|3.6.3.38|3.6.3.39|3.6.3.4|3.6.3.40|3.6.3.41|3.6.3.42|3.6.3.43|3.6.3.44|3.6.3.46|3.6.3.47|3.6.3.48|3.6.3.49|3.6.3.5|3.6.3.50|3.6.3.51|3.6.3.52|3.6.3.53|3.6.3.54|3.6.3.55|3.6.3.6|3.6.3.7|3.6.3.8|3.6.3.9|3.6.4.1|3.6.4.10|3.6.4.11|3.6.4.12|3.6.4.13|3.6.4.2|3.6.4.3|3.6.4.4|3.6.4.5|3.6.4.6|3.6.4.7|3.6.4.8|3.6.4.9|5.6.1.c|5.6.1.d|5.6.1.f|5.6.1.g|7.3.2.a|7.3.2.f|7.5.2.h|7.5.2.j|7.5.2.l|7.6.2.c|7.6.2.f
rxn00154_m0	rxn00154	Glycolysis / gluconeogenesis	R00209	rn01200	Carbon metabolism	1.2.1.-|1.2.1.M10|1.2.4.1|1.8.1.4|2.3.1.12
rxn00515_c0	rxn00515	Other / unassigned	R00722	rn00230	Purine metabolism	2.7.4.6
rxn00260_m0	rxn00260	TCA cycle	R00355	rn00250;rn00710;rn01110;rn01200;rn01210;rn01230	Alanine, aspartate and glutamate metabolism;Carbon fixation in photosynthetic organisms;Biosynthesis of secondary metabolites;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	2.6.1.1
rxn00507_c0	rxn00507	Other / unassigned	R00711	rn00010;rn00620	Glycolysis / Gluconeogenesis;Pyruvate metabolism	1.2.1.3|1.2.1.4|1.2.1.5
rxn00247_c0	rxn00247	Glycolysis / gluconeogenesis	R00341	rn00010;rn00020;rn00620;rn00710;rn01110;rn01200	Glycolysis / Gluconeogenesis;Citrate cycle (TCA cycle;Pyruvate metabolism;Carbon fixation in photosynthetic organisms;Biosynthesis of secondary metabolites;Carbon metabolism	4.1.1.49
rxn00505_m0	rxn00505	TCA cycle	R00709	rn00020;rn01110;rn01200;rn01210;rn01230	Citrate cycle (TCA cycle;Biosynthesis of secondary metabolites;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	1.1.1.286|1.1.1.41
rxn00459_c0	rxn00459	Glycolysis / gluconeogenesis	R00658	rn00010;rn00680;rn01110;rn01200;rn01230	Glycolysis / Gluconeogenesis;Methane metabolism;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids	4.2.1.11
rxn00198_m0	rxn00198	TCA cycle	R00267	rn00480;rn00720;rn01200;rn01210;rn01230	Glutathione metabolism;Carbon fixation pathways in prokaryotes;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	1.1.1.42
rxn00187_c0	rxn00187	Amino-acid metabolism	R00253	rn00250;rn00330;rn00630;rn00910;rn01230	Alanine, aspartate and glutamate metabolism;Arginine and proline metabolism;Glyoxylate and dicarboxylate metabolism;Nitrogen metabolism;Biosynthesis of amino acids	6.3.1.2
rxn00006_c0	rxn00006	Other / unassigned	R00009	rn00630;rn01110	Glyoxylate and dicarboxylate metabolism;Biosynthesis of secondary metabolites	1.11.1.21|1.11.1.6
rxn00168_c0	rxn00168	Glycolysis / gluconeogenesis	R00224			4.1.1.1
rxn00781_c0	rxn00781	Glycolysis / gluconeogenesis	R01061	rn00010;rn00710;rn01110;rn01200;rn01230	Glycolysis / Gluconeogenesis;Carbon fixation in photosynthetic organisms;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids	1.2.1.12|1.2.1.59
rxn08617_c0	rxn08617	Transport (inter-compartmental)				
rxn01333_c0	rxn01333	Pentose phosphate pathway	R01827;R08575	rn00030;rn01110;rn01200;rn01230	Pentose phosphate pathway;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids	2.2.1.2
rxn30674_m0	rxn30674	TCA cycle				
rxn00545_c0	rxn00545	Glycolysis / gluconeogenesis	R00756	rn00680;rn01200	Methane metabolism;Carbon metabolism	2.7.1.11
rxn00191_m0	rxn00191	TCA cycle	R00258	rn00250;rn00710;rn01200;rn01210;rn01230	Alanine, aspartate and glutamate metabolism;Carbon fixation in photosynthetic organisms;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	2.6.1.2
rxn00134_c0	rxn00134	Other / unassigned	R00185	rn00230	Purine metabolism	2.7.1.20|2.7.1.74
rxn00191_c0	rxn00191	Amino-acid metabolism	R00258	rn00250;rn00710;rn01200;rn01210;rn01230	Alanine, aspartate and glutamate metabolism;Carbon fixation in photosynthetic organisms;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	2.6.1.2
rxn00161_m0	rxn00161	TCA cycle	R00216	rn00620;rn00710;rn01200	Pyruvate metabolism;Carbon fixation in photosynthetic organisms;Carbon metabolism	1.1.1.40
rxn01115_c0	rxn01115	Pentose phosphate pathway	R01528	rn00030;rn00480;rn01110;rn01200	Pentose phosphate pathway;Glutathione metabolism;Biosynthesis of secondary metabolites;Carbon metabolism	1.1.1.351|1.1.1.44
rxn00192_m0	rxn00192	Amino-acid metabolism	R00259	rn00330;rn01110;rn01210;rn01230	Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	2.3.1.1
rxn00237_c0	rxn00237	Other / unassigned	R00330	rn00230	Purine metabolism	2.7.4.6
rxn01116_c0	rxn01116	Pentose phosphate pathway	R01529	rn00030;rn00040;rn00710;rn01110;rn01200;rn01230	Pentose phosphate pathway;Pentose and glucuronate interconversions;Carbon fixation in photosynthetic organisms;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids	5.1.3.1
rxn00559_c0	rxn00559	Glycolysis / gluconeogenesis	R00772			5.3.1.8
rxn00285_m0	rxn00285	TCA cycle	R00405	rn00020;rn00640;rn00720;rn01110;rn01200	Citrate cycle (TCA cycle;Propanoate metabolism;Carbon fixation pathways in prokaryotes;Biosynthesis of secondary metabolites;Carbon metabolism	6.2.1.5
rxn00786_c0	rxn00786	Glycolysis / gluconeogenesis	R01068	rn00680;rn00710;rn01200	Methane metabolism;Carbon fixation in photosynthetic organisms;Carbon metabolism	4.1.2.13
rxn00248_c0	rxn00248	TCA cycle	R00342	rn00020;rn00620;rn00630;rn00680;rn00710;rn00720;rn01110;rn01200	Citrate cycle (TCA cycle;Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Methane metabolism;Carbon fixation in photosynthetic organisms;Carbon fixation pathways in prokaryotes;Biosynthesis of secondary metabolites;Carbon metabolism	1.1.1.299|1.1.1.37
rxn00704_c0	rxn00704	Glycolysis / gluconeogenesis	R00959;R08639	rn00010;rn00052;rn00500;rn00520;rn00521;rn01110	Glycolysis / Gluconeogenesis;Galactose metabolism;Starch and sucrose metabolism;Amino sugar and nucleotide sugar metabolism;Streptomycin biosynthesis;Biosynthesis of secondary metabolites	5.4.2.2|5.4.2.5
rxn01053_c0	rxn01053	Other / unassigned	R01446	rn00620	Pyruvate metabolism	1.2.1.-|1.2.1.21|1.2.1.22
rxn00547_c0	rxn00547	Glycolysis / gluconeogenesis	R00760			2.7.1.1|2.7.1.4
rxn01100_c0	rxn01100	Glycolysis / gluconeogenesis	R01512	rn00010;rn00710;rn01110;rn01200;rn01230	Glycolysis / Gluconeogenesis;Carbon fixation in photosynthetic organisms;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids	2.7.2.3
rxn00558_c0	rxn00558	Glycolysis / gluconeogenesis	R00771			5.3.1.9
rxn09882_c0	rxn09882	Cofactor / vitamin biosynthesis				1.2.1.5
rxn00250_c0	rxn00250	Glycolysis / gluconeogenesis	R00344	rn00020;rn00620;rn00720;rn01200;rn01230	Citrate cycle (TCA cycle;Pyruvate metabolism;Carbon fixation pathways in prokaryotes;Carbon metabolism;Biosynthesis of amino acids	6.4.1.1
rxn00509_c0	rxn00509	Other / unassigned	R00714	rn00250;rn00350;rn00650	Alanine, aspartate and glutamate metabolism;Tyrosine metabolism;Butanoate metabolism	1.2.1.16|1.2.1.79
rxn00973_c0	rxn00973	Other / unassigned	R01324	rn01200;rn01210;rn01230	Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	4.2.1.3
rxn00216_c0	rxn00216	Glycolysis / gluconeogenesis	R00299	rn00521;rn00524;rn01110	Streptomycin biosynthesis;Butirosin and neomycin biosynthesis;Biosynthesis of secondary metabolites	2.7.1.1|2.7.1.2
rxn01977_c0	rxn01977	Glycolysis / gluconeogenesis	R02739	rn00010;rn00030;rn01110	Glycolysis / Gluconeogenesis;Pentose phosphate pathway;Biosynthesis of secondary metabolites	5.1.3.15|5.3.1.9
rxn01106_c0	rxn01106	Glycolysis / gluconeogenesis	R01518	rn00010;rn00260;rn00680;rn01110;rn01200;rn01230	Glycolysis / Gluconeogenesis;Glycine, serine and threonine metabolism;Methane metabolism;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids	5.4.2.1|5.4.2.11|5.4.2.12
rxn01731_m0	rxn01731	Other / unassigned	R02404	rn00660	C5-Branched dibasic acid metabolism	6.2.1.5
rxn00741_c0	rxn00741	Cofactor / vitamin biosynthesis	R01000	rn00640	Propanoate metabolism	1.1.1.27
rxn34273_c0	rxn34273	Glycolysis / gluconeogenesis	R01641	rn00030;rn00710;rn01110;rn01200;rn01230	Pentose phosphate pathway;Carbon fixation in photosynthetic organisms;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids	2.2.1.1
rxn09417_m0	rxn09417	TCA cycle				1.3.5.1
rxn00198_c0	rxn00198	Cofactor / vitamin biosynthesis	R00267	rn00480;rn00720;rn01200;rn01210;rn01230	Glutathione metabolism;Carbon fixation pathways in prokaryotes;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	1.1.1.42
rxn30206_m0	rxn30206	Other / unassigned				
rxn01241_m0	rxn01241	Cofactor / vitamin biosynthesis	R01698			1.8.1.4
rxn15115_c0	rxn15115	Other / unassigned	R01057	rn00030;rn00230	Pentose phosphate pathway;Purine metabolism	5.4.2.2|5.4.2.7
rxn00507_m0	rxn00507	Other / unassigned	R00711	rn00010;rn00620	Glycolysis / Gluconeogenesis;Pyruvate metabolism	1.2.1.3|1.2.1.4|1.2.1.5
rxn01870_c0	rxn01870	Other / unassigned	R02568	rn00051	Fructose and mannose metabolism	4.1.2.13
rxn01243_m0	rxn01243	TCA cycle	R01700	rn01110	Biosynthesis of secondary metabolites	1.2.4.2
rxn00575_e0	rxn00575	Glycolysis / gluconeogenesis	R00801;R06087	rn00052	Galactose metabolism	3.2.1.10|3.2.1.20|3.2.1.48
rxn09523_m0	rxn09523	Cofactor / vitamin biosynthesis				1.6.5.2|1.6.5.3|1.6.5.9
rxn00973_m0	rxn00973	TCA cycle	R01324	rn01200;rn01210;rn01230	Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	4.2.1.3
rxn01334_c0	rxn01334	Pentose phosphate pathway	R01829	rn00710;rn01200	Carbon fixation in photosynthetic organisms;Carbon metabolism	4.1.2.-|4.1.2.13
rxn02380_c0	rxn02380	Glycolysis / gluconeogenesis	R03321	rn00010;rn01110	Glycolysis / Gluconeogenesis;Biosynthesis of secondary metabolites	5.3.1.9
rxn00288_m0	rxn00288	TCA cycle	R00408	rn00720;rn01200	Carbon fixation pathways in prokaryotes;Carbon metabolism	1.3.99.1
rxn09522_m0	rxn09522	Other / unassigned				
rxn05745_m0	rxn05745	Other / unassigned				
rxn08032_c0	rxn08032	Transport (inter-compartmental)				
rxn05469_c0	rxn05469	Transport (inter-compartmental)				
rxn08428_c0	rxn08428	Transport (inter-compartmental)				
rxn13377_c0	rxn13377	Transport (inter-compartmental)				
PIt2r_c0		Transport (inter-compartmental)				
rxn00001_c0	rxn00001	Other / unassigned	R00004			3.6.1.1
rxn00001_m0	rxn00001	Other / unassigned	R00004			3.6.1.1
rxn00014_m0	rxn00014	Other / unassigned	R00017			1.11.1.5
rxn00068_c0	rxn00068	Cofactor / vitamin biosynthesis	R00092			1.16.1.7
rxn00077_c0	rxn00077	Cofactor / vitamin biosynthesis	R00104	rn00760	Nicotinate and nicotinamide metabolism	2.7.1.23
rxn00077_m0	rxn00077	Cofactor / vitamin biosynthesis	R00104	rn00760	Nicotinate and nicotinamide metabolism	2.7.1.23
rxn00078_c0	rxn00078	Cofactor / vitamin biosynthesis	R00105			2.7.1.86
rxn00078_m0	rxn00078	Cofactor / vitamin biosynthesis	R00105			2.7.1.86
rxn00097_c0	rxn00097	Other / unassigned	R00127	rn00230;rn01110	Purine metabolism;Biosynthesis of secondary metabolites	2.7.4.3
rxn00097_m0	rxn00097	Other / unassigned	R00127	rn00230;rn01110	Purine metabolism;Biosynthesis of secondary metabolites	2.7.4.3
rxn00146_m0	rxn00146	Glycolysis / gluconeogenesis	R00197	rn00620	Pyruvate metabolism	1.1.2.4
rxn00159_m0	rxn00159	TCA cycle	R00214	rn00620;rn00710;rn01200	Pyruvate metabolism;Carbon fixation in photosynthetic organisms;Carbon metabolism	1.1.1.38|1.1.1.39
rxn00175_c0	rxn00175	Other / unassigned	R00235	rn00010;rn00680;rn00720;rn01110;rn01200	Glycolysis / Gluconeogenesis;Methane metabolism;Carbon fixation pathways in prokaryotes;Biosynthesis of secondary metabolites;Carbon metabolism	6.2.1.1
rxn00175_m0	rxn00175	Other / unassigned	R00235	rn00010;rn00680;rn00720;rn01110;rn01200	Glycolysis / Gluconeogenesis;Methane metabolism;Carbon fixation pathways in prokaryotes;Biosynthesis of secondary metabolites;Carbon metabolism	6.2.1.1
rxn00179_c0	rxn00179	Amino-acid metabolism	R00239	rn00330;rn01230	Arginine and proline metabolism;Biosynthesis of amino acids	2.7.2.11
rxn00184_c0	rxn00184	Amino-acid metabolism	R00248	rn00250;rn00330;rn00471;rn00910	Alanine, aspartate and glutamate metabolism;Arginine and proline metabolism;D-Glutamine and D-glutamate metabolism;Nitrogen metabolism	1.4.1.3|1.4.1.4
rxn00213_c0	rxn00213	Nucleotide metabolism	R00289	rn00040;rn00052;rn00500;rn00520;rn01110	Pentose and glucuronate interconversions;Galactose metabolism;Starch and sucrose metabolism;Amino sugar and nucleotide sugar metabolism;Biosynthesis of secondary metabolites	2.7.7.9
rxn00289_m0	rxn00289	TCA cycle	R00409	rn00640	Propanoate metabolism	4.1.3.30
rxn00336_c0	rxn00336	Pentose phosphate pathway	R00479	rn00630;rn01200	Glyoxylate and dicarboxylate metabolism;Carbon metabolism	4.1.3.1
rxn00355_c0	rxn00355	Nucleotide metabolism	R00502	rn00052;rn00520;rn01110	Galactose metabolism;Amino sugar and nucleotide sugar metabolism;Biosynthesis of secondary metabolites	2.7.7.10
rxn00371_c0	rxn00371	Cofactor / vitamin biosynthesis	R00519	rn00630;rn00680;rn01200	Glyoxylate and dicarboxylate metabolism;Methane metabolism;Carbon metabolism	1.17.1.9|1.2.1.2
rxn00543_c0	rxn00543	Cofactor / vitamin biosynthesis	R00754	rn00010;rn01110	Glycolysis / Gluconeogenesis;Biosynthesis of secondary metabolites	1.1.1.1|1.1.1.71
rxn00543_m0	rxn00543	Other / unassigned	R00754	rn00010;rn01110	Glycolysis / Gluconeogenesis;Biosynthesis of secondary metabolites	1.1.1.1|1.1.1.71
rxn00549_c0	rxn00549	Glycolysis / gluconeogenesis	R00762	rn00680;rn00710;rn01200	Methane metabolism;Carbon fixation in photosynthetic organisms;Carbon metabolism	3.1.3.11
rxn00604_c0	rxn00604	Glycolysis / gluconeogenesis	R00835			1.1.1.363|1.1.1.49
rxn00605_c0	rxn00605	Glycolysis / gluconeogenesis	R00836;R06043			2.4.1.15
rxn00609_c0	rxn00609	Glycolysis / gluconeogenesis				
rxn00616_m0	rxn00616	Glycolysis / gluconeogenesis	R00848	rn00564	Glycerophospholipid metabolism	1.1.5.3|1.1.99.5
rxn00634_c0	rxn00634	Cofactor / vitamin biosynthesis	R00875	rn00051	Fructose and mannose metabolism	1.1.1.14|1.1.1.15
rxn00641_c0	rxn00641	Other / unassigned	R00885	rn00051;rn00520;rn01110	Fructose and mannose metabolism;Amino sugar and nucleotide sugar metabolism;Biosynthesis of secondary metabolites	2.7.7.13
rxn00701_c0	rxn00701	Glycolysis / gluconeogenesis	R00955	rn00052;rn00520;rn01110	Galactose metabolism;Amino sugar and nucleotide sugar metabolism;Biosynthesis of secondary metabolites	2.7.7.12
rxn00747_c0	rxn00747	Glycolysis / gluconeogenesis	R01015	rn00010;rn00051;rn00562;rn00710;rn01110;rn01200;rn01230	Glycolysis / Gluconeogenesis;Fructose and mannose metabolism;Inositol phosphate metabolism;Carbon fixation in photosynthetic organisms;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids	5.3.1.1
rxn00785_c0	rxn00785	Pentose phosphate pathway	R01067	rn00710;rn01200	Carbon fixation in photosynthetic organisms;Carbon metabolism	2.2.1.1
rxn00881_c0	rxn00881	Other / unassigned	R01185	rn00562	Inositol phosphate metabolism	3.1.3.25
rxn00908_m0	rxn00908	Amino-acid metabolism	R01221	rn00630;rn01110;rn01200	Glyoxylate and dicarboxylate metabolism;Biosynthesis of secondary metabolites;Carbon metabolism	1.4.4.2|1.8.1.4|2.1.2.10
rxn01101_c0	rxn01101	Glycolysis / gluconeogenesis	R01513	rn00260;rn00680;rn01200;rn01230	Glycine, serine and threonine metabolism;Methane metabolism;Carbon metabolism;Biosynthesis of amino acids	1.1.1.95
rxn01274_c0	rxn01274	Other / unassigned	R01736	rn00620	Pyruvate metabolism	3.1.2.6
rxn01332_c0	rxn01332	Pentose phosphate pathway	R01826	rn00400;rn01110;rn01230	Phenylalanine, tyrosine and tryptophan biosynthesis;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	2.5.1.54|4.1.2.15
rxn01332_m0	rxn01332	Pentose phosphate pathway	R01826	rn00400;rn01110;rn01230	Phenylalanine, tyrosine and tryptophan biosynthesis;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	2.5.1.54|4.1.2.15
rxn01343_c0	rxn01343	Other / unassigned	R01843			2.7.1.11
rxn01476_c0	rxn01476	Pentose phosphate pathway	R02035	rn00030;rn01110;rn01200	Pentose phosphate pathway;Biosynthesis of secondary metabolites;Carbon metabolism	3.1.1.31
rxn01492_c0	rxn01492	Other / unassigned	R02071	rn00051	Fructose and mannose metabolism	2.7.1.56
rxn01618_c0	rxn01618	Cofactor / vitamin biosynthesis	R02260	rn00620;rn00640	Pyruvate metabolism;Propanoate metabolism	1.1.1.283|1.2.1.49
rxn01834_c0	rxn01834	Other / unassigned	R02530	rn00620	Pyruvate metabolism	4.4.1.5
rxn01851_m0	rxn01851	Other / unassigned	R02549	rn00330;rn00410	Arginine and proline metabolism;beta-Alanine metabolism	1.2.1.-|1.2.1.19|1.2.1.3
rxn02004_c0	rxn02004	Storage (glycogen / trehalose)	R02778;R06228	rn00500	Starch and sucrose metabolism	3.1.3.12
rxn03956_c0	rxn03956	Cofactor / vitamin biosynthesis	R05686			1.1.1.265
rxn05232_c0	rxn05232	Other / unassigned	R02014	rn00230	Purine metabolism	1.17.4.2
rxn05236_c0	rxn05236	Nucleotide metabolism	R02023	rn00240	Pyrimidine metabolism	1.17.4.2
rxn05289_c0	rxn05289	Cofactor / vitamin biosynthesis	R02016	rn00240	Pyrimidine metabolism	1.6.4.5|1.8.1.9
rxn05468_c0	rxn05468	Other / unassigned				
rxn09243_c0	rxn09243	Transport (inter-compartmental)				
rxn09397_c0	rxn09397	Other / unassigned	R06051			2.4.1.11
rxn09399_c0	rxn09399	Storage (glycogen / trehalose)				2.4.1.18
rxn09400_c0	rxn09400	Cell-wall polysaccharide	R06020			2.4.1.34
rxn09753_c0	rxn09753	TCA cycle				
rxn12777_m0	rxn12777	Other / unassigned				1.2.1.M8
rxn13222_m0	rxn13222	Other / unassigned				
rxn13223_c0	rxn13223	Cofactor / vitamin biosynthesis				
rxn13224_m0	rxn13224	Other / unassigned				
rxn13225_c0	rxn13225	Cofactor / vitamin biosynthesis				
rxn13300_c0	rxn13300	Storage (glycogen / trehalose)				
rxn18921_x0	rxn18921	Amino-acid metabolism				2.6.1.23
rxn19316_m0	rxn19316	TCA cycle	R00351	rn00020;rn00630;rn01110;rn01200;rn01210;rn01230	Citrate cycle (TCA cycle;Glyoxylate and dicarboxylate metabolism;Biosynthesis of secondary metabolites;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	2.3.3.1|2.3.3.16|2.3.3.3|4.1.3.7
rxn20162_c0	rxn20162	Pentose phosphate pathway	R00472	rn00620;rn00630;rn01200	Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Carbon metabolism	2.3.3.9|4.1.3.2
rxn28352_m0	rxn28352	Other / unassigned	R05685			1.1.1.1|1.1.1.265
rxn30081_m0	rxn30081	Amino-acid metabolism				
rxn30381_c0	rxn30381	Glycolysis / gluconeogenesis	R00842	rn00564	Glycerophospholipid metabolism	1.1.1.8|1.1.1.94
rxn30674_c0	rxn30674	TCA cycle				
rxn32754_c0	rxn32754	Other / unassigned	R01818	rn00051;rn00520;rn01110	Fructose and mannose metabolism;Amino sugar and nucleotide sugar metabolism;Biosynthesis of secondary metabolites	5.4.2.8
rxn35242_c0	rxn35242	Glycolysis / gluconeogenesis	R00200	rn00010;rn00230;rn00620;rn01110;rn01200;rn01230	Glycolysis / Gluconeogenesis;Purine metabolism;Pyruvate metabolism;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids	2.7.1.40
ACALDCD_c0		Other / unassigned				
ACtr_c0		Transport (inter-compartmental)				
H2Otm_c0		Other / unassigned				
HACNHm_m0		Other / unassigned				
bio1_m0		Biomass				
bio2_m0		Biomass				
rxn05211_c0	rxn05211	Transport (inter-compartmental)				2.A.1.6.-
rxn05319_c0	rxn05319	Other / unassigned				
rxn05467_c0	rxn05467	Transport (inter-compartmental)				
rxn05488_c0	rxn05488	Transport (inter-compartmental)				2.A.1.13.-
rxn05561_c0	rxn05561	Transport (inter-compartmental)				2.A.56.-.-
rxn05605_c0	rxn05605	Other / unassigned				2.A.56.-.-
rxn09681_c0	rxn09681	Transport (inter-compartmental)				
rxn30341_m0	rxn30341	Other / unassigned	R02570	rn00020;rn01110	Citrate cycle (TCA cycle;Biosynthesis of secondary metabolites	2.3.1.61
rxn30407_m0	rxn30407	TCA cycle	R00931	rn00640	Propanoate metabolism	2.3.3.5|4.1.3.31
frxn35348_m0		Oxidative phosphorylation / ETC				
rxn35347_m0	rxn35347	Oxidative phosphorylation / ETC				
rxn05469_m0	rxn05469	Transport (inter-compartmental)				
rxn08428_m0	rxn08428	Transport (inter-compartmental)				
rxn08032_m0	rxn08032	Transport (inter-compartmental)				
rxn00145_m0	rxn00145	Oxidative phosphorylation / ETC	R00196	rn00620	Pyruvate metabolism	1.1.2.3
frxn13726_m0		Oxidative phosphorylation / ETC				
rxn00083_m0	rxn00083	Cofactor / vitamin biosynthesis	R00112	rn00760	Nicotinate and nicotinamide metabolism	1.6.1.1|1.6.1.2|1.6.1.3
rxn00102_c0	rxn00102	Other / unassigned	R00132;R10092	rn00910	Nitrogen metabolism	4.2.1.1
rxn00102_m0	rxn00102	Other / unassigned	R00132;R10092	rn00910	Nitrogen metabolism	4.2.1.1
rxn00003_m0	rxn00003	Glycolysis / gluconeogenesis	R00006	rn00770	Pantothenate and CoA biosynthesis	2.2.1.6
rxn00003_c0	rxn00003	Glycolysis / gluconeogenesis	R00006	rn00770	Pantothenate and CoA biosynthesis	2.2.1.6
rxn08350_m0	rxn08350	Oxidative phosphorylation / ETC				
rxn19316_x0	rxn19316	TCA cycle	R00351	rn00020;rn00630;rn01110;rn01200;rn01210;rn01230	Citrate cycle (TCA cycle;Glyoxylate and dicarboxylate metabolism;Biosynthesis of secondary metabolites;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	2.3.3.1|2.3.3.16|2.3.3.3|4.1.3.7
rxn09780_c0	rxn09780	Transport (inter-compartmental)				
rxn09779_c0	rxn09779	Transport (inter-compartmental)				
rxn09777_c0	rxn09777	Transport (inter-compartmental)				
rxn09733_c0	rxn09733	Transport (inter-compartmental)				
rxn08173_m0	rxn08173	Oxidative phosphorylation / ETC				3.6.3.14|7.1.2.2
rxn09273_c0	rxn09273	TCA cycle				
rxn13211_c0	rxn13211	Other / unassigned				
rxn11219_c0	rxn11219	Other / unassigned				
rxn11319_c0	rxn11319	Transport (inter-compartmental)				
rxn05511_c0	rxn05511	Transport (inter-compartmental)				
rxn09121_m0	rxn09121	Transport (inter-compartmental)				
rxn02185_c0	rxn02185	Glycolysis / gluconeogenesis	R03050			2.2.1.6
rxn02113_c0	rxn02113	Other / unassigned	R02947			4.1.1.5
rxn09121_c0	rxn09121	Transport (inter-compartmental)				
bio1		Biomass				
bio2		Biomass				
EX_cpd00076_e0		Exchange				
EX_cpd00027_e0		Exchange				
EX_cpd00082_e0		Exchange				
EX_cpd00130_e0		Exchange				
EX_cpd00007_e0		Exchange				
EX_cpd00067_e0		Exchange				
EX_cpd00029_e0		Exchange				
EX_cpd00588_e0		Exchange				
EX_cpd00361_e0		Exchange				
EX_cpd00363_e0		Exchange				
EX_cpd00011_e0		Exchange				
EX_cpd00001_e0		Exchange				
EX_cpd00020_e0		Exchange				
EX_cpd00009_e0		Exchange				
EX_cpd00137_e0		Exchange				
EX_cpd00071_e0		Exchange				
EX_cpd09075_e0		Exchange				
EX_cpd00106_e0		Exchange				
EX_cpd01947_e0		Exchange				
SK_cpd11416_c0		Biomass				
rxn01256_c0	rxn01256	Other / unassigned	R01715	rn00400;rn01110;rn01230	Phenylalanine, tyrosine and tryptophan biosynthesis;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	5.4.99.5
rxn00832_c0	rxn00832	Other / unassigned	R01127	rn00230;rn01110	Purine metabolism;Biosynthesis of secondary metabolites	2.1.2.3|3.5.4.10
rxn00737_m0	rxn00737	Amino-acid metabolism	R00996	rn00260;rn00290;rn01110;rn01230	Glycine, serine and threonine metabolism;Valine, leucine and isoleucine biosynthesis;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	4.3.1.19
rxn02175_m0	rxn02175	Other / unassigned	R03035	rn00770	Pantothenate and CoA biosynthesis	2.7.7.3
rxn13307_c0	rxn13307	Oxidative phosphorylation / ETC				
