rxn_id	seed_base	pathway_bucket	kegg_reaction	kegg_pathway_id	kegg_pathway_name	ec_number
rxn00423_c0	rxn00423	Amino-acid metabolism	R00586	rn00270;rn00920;rn01200;rn01230	Cysteine and methionine metabolism;Sulfur metabolism;Carbon metabolism;Biosynthesis of amino acids	2.3.1.30
rxn13348_c0	rxn13348	Other / unassigned				
rxn02402_m0	rxn02402	Other / unassigned	R03348	rn00760	Nicotinate and nicotinamide metabolism	2.4.2.19
rxn00007_c0	rxn00007	Storage (glycogen / trehalose)	R00010;R06103	rn00500	Starch and sucrose metabolism	3.2.1.28
rxn09836_c0	rxn09836	TCA cycle				
rxn00552_c0	rxn00552	Glycolysis / gluconeogenesis	R00765	rn00520	Amino sugar and nucleotide sugar metabolism	3.5.99.6
rxn30058_c0	rxn30058	Other / unassigned				2.7.1.15
rxn00931_c0	rxn00931	Amino-acid metabolism	R01251	rn00330;rn01110;rn01230	Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	1.5.1.2
rxn09414_c0	rxn09414	Other / unassigned				
rxn13376_c0	rxn13376	Transport (inter-compartmental)				
rxn09427_c0	rxn09427	Other / unassigned				
rxn02222_c0	rxn02222	Other / unassigned	R03096	rn00380	Tryptophan metabolism	3.5.1.4
rxn09479_x0	rxn09479	β-oxidation (peroxisomal)				1.3.3.6
rxn09428_m0	rxn09428	Fatty-acid biosynthesis				
rxn13297_c0	rxn13297	Storage (glycogen / trehalose)				
rxn09763_c0	rxn09763	Transport (inter-compartmental)				
rxn00337_c0	rxn00337	Amino-acid metabolism	R00480	rn00260;rn00270;rn00300;rn01110;rn01210;rn01230	Glycine, serine and threonine metabolism;Cysteine and methionine metabolism;Lysine biosynthesis;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	2.7.2.4
rxn00122_m0	rxn00122	Cofactor / vitamin biosynthesis	R00161	rn00740	Riboflavin metabolism	2.7.7.2
rxn09880_c0	rxn09880	Other / unassigned				2.3.1.57
rxn13125_c0	rxn13125	Transport (inter-compartmental)				
rxn09847_x0	rxn09847	Transport (inter-compartmental)				
rxn32133_c0	rxn32133	Cofactor / vitamin biosynthesis	R00115	rn00480	Glutathione metabolism	1.6.4.2|1.8.1.7
rxn05527_c0	rxn05527	Other / unassigned				
rxn00453_c0	rxn00453	Amino-acid metabolism	R00651			2.5.1.49|4.2.99.10
rxn02276_c0	rxn02276	Other / unassigned	R03181	rn00350;rn00643	Tyrosine metabolism;Styrene degradation	5.2.1.2
AASAD2_c0		Cofactor / vitamin biosynthesis				
rxn30013_c0	rxn30013	Other / unassigned				
rxn13235_c0	rxn13235	Transport (inter-compartmental)				
rxn02219_c0	rxn02219	Other / unassigned	R03093	rn00380	Tryptophan metabolism	3.5.5.1
rxn09716_c0	rxn09716	Transport (inter-compartmental)				
rxn02287_c0	rxn02287	Other / unassigned	R03194	rn00860;rn01110	Porphyrin and chlorophyll metabolism;Biosynthesis of secondary metabolites	2.1.1.107
rxn13399_r0	rxn13399	Cofactor / vitamin biosynthesis				
rxn01603_c0	rxn01603	Amino-acid metabolism	R02237	rn00790	Folate biosynthesis	6.3.2.12|6.3.2.17
rxn06443_c0	rxn06443	Amino-acid metabolism	R03659	rn00970	Aminoacyl-tRNA biosynthesis	6.1.1.10
rxn20162_x0	rxn20162	Pentose phosphate pathway	R00472	rn00620;rn00630;rn01200	Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Carbon metabolism	2.3.3.9|4.1.3.2
rxn20478_x0	rxn20478	β-oxidation (peroxisomal)	R04741	rn00062;rn00071;rn01212	Fatty acid elongation;Fatty acid degradation;Fatty acid metabolism	1.1.1.211|1.1.1.35
rxn01380_c0	rxn01380	Other / unassigned	R01890	rn00564	Glycerophospholipid metabolism	2.7.7.15
rxn06435_c0	rxn06435	Amino-acid metabolism	R03650	rn00970	Aminoacyl-tRNA biosynthesis	6.1.1.16
rxn05231_c0	rxn05231	Other / unassigned	R02017	rn00230	Purine metabolism	1.17.4.1
rxn01437_c0	rxn01437	Other / unassigned	R01959	rn00380;rn00630	Tryptophan metabolism;Glyoxylate and dicarboxylate metabolism	3.5.1.9
rxn13187_m0	rxn13187	Other / unassigned				
rxn34008_c0	rxn34008	Cofactor / vitamin biosynthesis				1.8.1.2
rxn08350_c0	rxn08350	Transport (inter-compartmental)				
rxn15049_c0	rxn15049	Other / unassigned	R00510	rn00240	Pyrimidine metabolism	3.2.2.10
rxn30672_c0	rxn30672	Other / unassigned				
GAT1_SC_c0		Glycolysis / gluconeogenesis				
rxn00764_c0	rxn00764	Pentose phosphate pathway	R01039	rn00561	Glycerolipid metabolism	1.1.1.156
rxn02356_c0	rxn02356	Cofactor / vitamin biosynthesis	R03291	rn00330	Arginine and proline metabolism	1.5.1.2
rxn05581_c0	rxn05581	Glycolysis / gluconeogenesis				
rxn08453_c0	rxn08453	Transport (inter-compartmental)				6.2.1.3
rxn02402_c0	rxn02402	Other / unassigned	R03348	rn00760	Nicotinate and nicotinamide metabolism	2.4.2.19
rxn04142_c0	rxn04142	Amino-acid metabolism	R06171	rn00260	Glycine, serine and threonine metabolism	4.1.2.48|4.1.2.49|4.1.2.5
rxn00503_m0	rxn00503	Amino-acid metabolism	R00707	rn00250;rn00330	Alanine, aspartate and glutamate metabolism;Arginine and proline metabolism	1.5.1.12
rxn05316_c0	rxn05316	Other / unassigned				
rxn06280_m0	rxn06280	Amino-acid metabolism	R02918	rn00970	Aminoacyl-tRNA biosynthesis	6.1.1.1
rxn09034_c0	rxn09034	Transport (inter-compartmental)				
rxn09517_c0	rxn09517	Other / unassigned				3.6.1.6
CRNCARtp_c0		Transport (inter-compartmental)				
rxn00599_m0	rxn00599	Amino-acid metabolism	R00830	rn00260;rn00860	Glycine, serine and threonine metabolism;Porphyrin and chlorophyll metabolism	2.3.1.37
rxn00713_c0	rxn00713	Nucleotide metabolism	R00968	rn00240	Pyrimidine metabolism	2.7.1.48
rxn01360_c0	rxn01360	Other / unassigned	R01867	rn00240	Pyrimidine metabolism	1.3.3.1|1.3.98.1
rxn30145_m0	rxn30145	Other / unassigned	R05070	rn00290;rn01110;rn01210;rn01230	Valine, leucine and isoleucine biosynthesis;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	4.2.1.9
rxn01445_c0	rxn01445	Other / unassigned	R01968	rn00230	Purine metabolism	3.1.3.5
rxn06434_c0	rxn06434	Amino-acid metabolism	R03648	rn00970	Aminoacyl-tRNA biosynthesis	6.1.1.22
rxn03052_c0	rxn03052	Cell-wall polysaccharide	R04405	rn00270;rn01110;rn01230	Cysteine and methionine metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	2.1.1.14
rxn03063_c0	rxn03063	Lipid / membrane	R04427	rn00100	Steroid biosynthesis	2.1.1.41
rxn08066_m0	rxn08066	Other / unassigned				
CERS124er_r0		Other / unassigned				
rxn01377_c0	rxn01377	Amino-acid metabolism	R01887	rn00460	Cyanoamino acid metabolism	3.5.5.1
rxn05224_c0	rxn05224	Cofactor / vitamin biosynthesis				
rxn01213_c0	rxn01213	Other / unassigned	R01658	rn00900;rn01110	Terpenoid backbone biosynthesis;Biosynthesis of secondary metabolites	2.5.1.1
CYSTLp_x0		Cell-wall polysaccharide				
FAS140ACPm_m0		Fatty-acid biosynthesis				
rxn08448_x0	rxn08448	Transport (inter-compartmental)				6.2.1.3
E4HGLUtp_c0		Other / unassigned				
rxn09806_c0	rxn09806	Transport (inter-compartmental)				
rxn09790_c0	rxn09790	Transport (inter-compartmental)				
rxn01537_c0	rxn01537	Cofactor / vitamin biosynthesis	R02133	rn00730	Thiamine metabolism	3.5.99.2
rxn13327_c0	rxn13327	Other / unassigned				
rxn00966_c0	rxn00966	Glycolysis / gluconeogenesis	R01302	rn00130;rn01110	Ubiquinone and other terpenoid-quinone biosynthesis;Biosynthesis of secondary metabolites	4.1.3.40
rxn09803_c0	rxn09803	Transport (inter-compartmental)				
rxn05201_c0	rxn05201	Other / unassigned				
rxn00830_c0	rxn00830	Other / unassigned	R01123	rn00900;rn01110	Terpenoid backbone biosynthesis;Biosynthesis of secondary metabolites	5.3.3.2
rxn00903_c0	rxn00903	Amino-acid metabolism	R01214	rn00280;rn00290;rn00770;rn00966;rn01110;rn01210;rn01230	Valine, leucine and isoleucine degradation;Valine, leucine and isoleucine biosynthesis;Pantothenate and CoA biosynthesis;Glucosinolate biosynthesis;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	2.6.1.42|2.6.1.6
rxn09332_c0	rxn09332	Transport (inter-compartmental)				
rxn13328_c0	rxn13328	Other / unassigned				
GLXtp_c0		Transport (inter-compartmental)				
rxn09544_c0	rxn09544	Other / unassigned				
rxn09600_c0	rxn09600	Other / unassigned				
rxn09663_c0	rxn09663	Other / unassigned				
rxn13201_c0	rxn13201	Transport (inter-compartmental)				
rxn30079_c0	rxn30079	Other / unassigned				
rxn09425_m0	rxn09425	Fatty-acid biosynthesis				
rxn05233_c0	rxn05233	Other / unassigned	R02019	rn00230	Purine metabolism	1.17.4.1
rxn00069_c0	rxn00069	Amino-acid metabolism	R00093	rn00250;rn00910;rn01110	Alanine, aspartate and glutamate metabolism;Nitrogen metabolism;Biosynthesis of secondary metabolites	1.4.1.14
rxn08525_c0	rxn08525	Transport (inter-compartmental)				
rxn01833_c0	rxn01833	Other / unassigned	R02529	rn00260	Glycine, serine and threonine metabolism	1.4.3.21|1.4.3.4
rxn33365_c0	rxn33365	Other / unassigned	R02142	rn00230;rn01110	Purine metabolism;Biosynthesis of secondary metabolites	2.4.2.22|2.4.2.8
