condition	capacity	rxn_id	name	subsystem	flux	ceiling	expr_norm
PDA	1.0	rxn09780_c0	ADP/ATP transporter, mitochondrial_c0		0.02854	0.02854	0.0285
PDA	1.0	rxn09779_c0	Tricarboxylate transport protein_c0		-0.00204	0.00204	0.002
PDA	1.0	rxn09777_c0	Tricarboxylate transport protein_c0		-0.00204	0.00204	0.002
PDA	1.0	rxn00342_e0	L-Asparagine amidohydrolase_e0		0.0019	0.0019	0.0019
PDA	1.0	rxn00342_c0	L-Asparagine amidohydrolase_c0		0.0019	0.0019	0.0019
PDA	0.3	rxn08617_c0	glucose transport via diffusion (extracellular to periplasm)_c0		0.0006	0.0006	0.002
PDA	0.3	rxn00547_c0			0.00439	0.00439	0.0146
PDA	0.3	rxn30381_c0	sn-Glycerol-3-phosphate:NAD+ 2-oxidoreductase_c0		-0.00398	0.00398	0.0133
PDA	0.3	rxn09780_c0	ADP/ATP transporter, mitochondrial_c0		0.00856	0.00856	0.0285
PDA	0.3	rxn09779_c0	Tricarboxylate transport protein_c0		-0.00061	0.00061	0.002
PDA	0.3	rxn09777_c0	Tricarboxylate transport protein_c0		-0.00061	0.00061	0.002
PDA	0.3	rxn00342_e0	L-Asparagine amidohydrolase_e0		0.00057	0.00057	0.0019
PDA	0.3	SERt2r_c0	TRANS-RXNBWI-115637.ce.maizeexp.SER_SER_c0		-0.0021	0.0021	0.007
PDA	0.3	rxn00342_c0	L-Asparagine amidohydrolase_c0		0.00057	0.00057	0.0019
PDA	0.1	rxn08617_c0	glucose transport via diffusion (extracellular to periplasm)_c0		0.0002	0.0002	0.002
PDA	0.1	rxn00547_c0			0.00146	0.00146	0.0146
PDA	0.1	rxn30381_c0	sn-Glycerol-3-phosphate:NAD+ 2-oxidoreductase_c0		-0.00133	0.00133	0.0133
PDA	0.1	rxn09780_c0	ADP/ATP transporter, mitochondrial_c0		0.00285	0.00285	0.0285
PDA	0.1	rxn09779_c0	Tricarboxylate transport protein_c0		-0.0002	0.0002	0.002
PDA	0.1	rxn00342_e0	L-Asparagine amidohydrolase_e0		0.00019	0.00019	0.0019
PDA	0.1	SERt2r_c0	TRANS-RXNBWI-115637.ce.maizeexp.SER_SER_c0		-0.0007	0.0007	0.007
PDA	0.1	rxn00342_c0	L-Asparagine amidohydrolase_c0		0.00019	0.00019	0.0019
half	300.0	rxn00198_m0	Isocitrate:NADP+ oxidoreductase (decarboxylating)		-2.14454	2.14454	0.0071
half	300.0	rxn08617_c0	glucose transport via diffusion (extracellular to periplasm)_c0		1.10609	1.10609	0.0037
half	100.0	rxn00198_m0	Isocitrate:NADP+ oxidoreductase (decarboxylating)		-0.71485	0.71485	0.0071
half	100.0	rxn08617_c0	glucose transport via diffusion (extracellular to periplasm)_c0		0.3687	0.3687	0.0037
half	30.0	rxn00198_m0	Isocitrate:NADP+ oxidoreductase (decarboxylating)		-0.21445	0.21445	0.0071
half	30.0	rxn08617_c0	glucose transport via diffusion (extracellular to periplasm)_c0		0.11061	0.11061	0.0037
half	30.0	rxn09780_c0	ADP/ATP transporter, mitochondrial_c0		1.03604	1.03604	0.0345
half	10.0	rxn00198_m0	Isocitrate:NADP+ oxidoreductase (decarboxylating)		-0.07148	0.07148	0.0071
half	10.0	rxn08617_c0	glucose transport via diffusion (extracellular to periplasm)_c0		0.03687	0.03687	0.0037
half	10.0	rxn30381_c0	sn-Glycerol-3-phosphate:NAD+ 2-oxidoreductase_c0		-0.09429	0.09429	0.0094
